"","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints8","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"A2M",-0.626125165648876,-0.343765111188188,0.748994861386104,-0.300507793659741,0.99791873655917,0.99757965412023,1.00968323876421,-0.14833149382601,0.11482566007958,0.381048295978759,-0.423641186541448,0.126183995339073,-0.587158693291732,0.723550032889979
"AARD",0.173735236940716,0.0210392983908642,0.0360979278603341,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,0.44097062364586,-0.141941776241673,-0.133371549477479,-0.0921475832702868,0.0584399656818788,-0.108122786537174
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0134346581433131,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",0.304535945323864,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.211040150128844,-0.0600776840109699,-0.0600776840109699,1.37707627084774,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",-0.0771140145135935,-0.0771140145135935,0.224944408222892,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,3.28192399032427,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,0.228253076835303,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.143941175887982,-0.0705755685389594,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.135880578015809,-0.139396305833425,-0.143941175887982,-0.124734038963311
"ABCC13",-0.116747125484902,-0.116747125484902,-0.100311590187431,-0.116747125484902,-0.055324904660486,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.0593910135632939,-0.0633151426532289,0.0336608757652123,0.16427362800079
"ABCC8",-0.138887574917791,0.420480317202788,0.189647293802774,-0.0315795870626634,0.431036980798827,1.0896658248065,-0.267815155511825,-0.0352998604867232,1.00992397552503,0.299015370365405,0.810520281313742,0.934969399626681,0.868214897926848,0.277611524051127
"ABCD2",-0.0735221782893502,-0.0735221782893502,0.428283932158816,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,1.36555241860913,0.105868135747524,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502
"ABCG2",-0.324789443597404,-0.235040443456437,-0.327863640212251,-0.348592372341274,-0.328053127811852,-0.314466713566658,-0.0338867596571869,-0.283967834255792,-0.172635883389755,-0.309204929355489,-0.315694936105571,-0.304785057714916,-0.329540835962195,-0.274864557169585
"ABHD17C",0.627497155941549,-0.0559844550932645,0.481193464384993,-0.230828218641768,-0.263159174349314,0.148330069776221,0.892709786681366,-0.263159174349314,0.344620079584606,-0.194979134452445,0.00949103957842357,-0.0643494396696504,-0.2512476189921,0.25687777486038
"ABHD6",0.216523211174436,-0.217703017303842,0.0791072994091302,-0.193548332312424,-0.25952403143954,-0.00399070632328153,-0.342687091564795,0.869563452436251,0.0637791592163335,-0.288029760766891,0.121659227005152,0.0475024265207613,0.172899791590259,0.301153693701939
"ABI3",-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.125606728207292,-0.23172350152117,-0.136307102128473,-0.190788654797112,-0.225952634621076,-0.216729018310419,-0.235428386471396
"ACKR1",-0.147281717520753,-0.147281717520753,-0.131588678301996,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.135305499495011,-0.136290711386041,-0.0893528248602161,-0.147281717520753
"ACOT7",-0.211079801596614,0.197613698489167,-0.114080173197408,-0.178386588216696,-0.128959845956212,-0.555028538756903,-0.544874460148496,-0.164219676096181,-0.223109844264589,-0.482619702114379,-0.0130887718045285,-0.136137957709396,-0.270792092756864,-0.0770089047073803
"ACP5",-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.0332974560419146,-0.1265889452272,-0.0613675403606512,-0.1265889452272,-0.1265889452272,-0.105529105724098,-0.115088861118697,-0.104355917070361
"ACTA1",-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,0.989192080301391,-0.108535845884236,-0.0240216234294511,0.0924235510613904,-0.108535845884236,0.369984279045455
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,0.122382252688938,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137
"ACY3",0.131084215114263,-0.119102625376292,-0.0782822627414251,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.0846664199654314,-0.119102625376292,-0.11544545081212,-0.119102625376292,-0.119102625376292
"ADAM21",-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,0.0385046144830498,-0.0403579803482727,-0.0403579803482727,0.0502287190998835
"ADAMDEC1",-0.0702286917372639,-0.0702286917372639,-0.0464137952997864,-0.0702286917372639,-0.0702286917372639,0.431195937388364,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.00351417684894851,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639
"ADAMTS8",-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,0.0689920775725607,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198
"ADAMTSL3",-0.0790418377514435,-0.0790418377514435,-0.0603260102188946,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0587968726927652,-0.0790418377514435,-0.0509872044155258
"ADAMTSL5",-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,0.502395023100924
"ADAP2",-0.104681810929727,-0.263265117600787,-0.259558401274475,-0.263265117600787,-0.263265117600787,-0.226963374791843,0.00297570873077341,-0.244804921006647,-0.25642120390838,-0.0623090869718948,-0.257511045405602,-0.245897291399967,-0.259385453444246,-0.230908418566278
"ADGRE5",-0.118484522895267,-0.305933442965596,-0.325152945038872,-0.33328960330188,-0.33328960330188,-0.210623664526294,-0.303817500116273,0.0273721951557943,-0.239884703574335,-0.268556822907813,-0.184440580472914,-0.11488823048996,-0.153236988739787,-0.238443789775294
"ADGRF3",-0.10163007333484,-0.10163007333484,-0.10163007333484,-0.10163007333484,0.103038931127695,-0.10163007333484,-0.10163007333484,-0.10163007333484,-0.0121017909403933,-0.10163007333484,-0.10163007333484,-0.10163007333484,0.416062173342719,-0.10163007333484
"ADGRG6",-0.117757352714262,-0.117757352714262,-0.105483548228096,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.0136527678802345,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262
"ADGRL4",-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.0927694068325676,-0.130436617541344,-0.0901475201873151
"ADH1A",-0.0842821291417367,-0.0842821291417367,0.193225708447976,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,0.129603057171503,0.39339399457353,-0.0842821291417367
"ADIRF",-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.0862606382457466,-0.0849986220804943,0.000553159082024766,0.181631616537912,-0.11062005681663
"ADM",-0.514421982657764,-0.514421982657764,-0.207926122285356,-0.514421982657764,-0.42681379730178,-0.0138486775630749,-0.300013770677355,-0.403160911755173,-0.403025548528422,-0.215745384206032,-0.47512797606324,-0.30884381046252,-0.410471376959647,-0.31683293263574
"ADPRH",-0.143561520034798,-0.143561520034798,0.0582899923694819,-0.143561520034798,-0.143561520034798,0.462920113888975,-0.143561520034798,-0.143561520034798,-0.0982340147123019,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.131624670824322,-0.113578271731263
"ADRA1B",-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,0.171302974508802
"ADRA2C",-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,0.0933037818526479,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0350686571478442,0.0352725468087772,-0.0579072175231089,-0.0769220865407734
