"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints8","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"CLIC3",-0.155039276075291,-0.148985841611095,-0.155039276075291,-0.155039276075291,-0.0342456270301044,-0.155039276075291,-0.0546104955948503,0.173615138450235,0.0150517580225448,0.778083991568027,0.107347477102014,-0.0275524210032168,-0.136669762667979,-0.142551996245439
"CLIC4",-0.196122312075081,0.0994392787745385,-0.378967514866833,0.653760757574788,0.448624369743413,0.248587461038991,0.439864588971146,-0.105126726691659,-0.130831456446186,-0.070158512508048,-0.0310305163637699,0.182092058195161,-0.00191093836304361,0.0443262431060755
"CLPSL2",0.0151060336312824,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,-0.0864724924905095,0.0554881103399761,-0.0864724924905095,-0.0864724924905095
"CLSPN",-0.047567527657911,-0.179785776837246,-0.203157187717334,0.0948566429143314,-0.0151949031085221,-0.13130497227455,-0.280041857393485,-0.247399520051548,-0.182046844821294,0.268807331721579,-0.0898610927607217,-0.184017230754668,-0.280041857393485,-0.210991207808164
"CLU",-0.348964335677258,-0.479366364388269,-0.281804455811905,-0.40512297722678,-0.566592343577277,-0.706009020644356,-0.262282824448864,-0.543718080957078,-0.386237284524828,0.0628539825984369,-0.155495493412826,2.34911448812668e-05,-0.268539672003272,0.35714231746318
"CMTM2",0.121896363445305,-0.0574324902049873,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,0.126866164148452,-0.0701852084380044,-0.0311877751550452,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0701852084380044,-0.0550128217104684
"CMYA5",0.160336991839564,0.58874478348041,0.22012129169424,1.11621292971161,0.300354179404786,0.620494590159437,0.576379090798733,0.379203306166032,0.534858109017845,0.186474446306781,0.010030115065511,0.0367602284912309,0.797331785584741,0.0893194697794392
"CNNM1",0.350849423004789,-0.142315014662921,0.414579914190642,-0.142315014662921,-0.121409950624952,0.984608875855182,-0.142315014662921,0.298655203365902,0.0234183248342335,0.60162545096256,0.380109595082679,0.0856637879490591,0.625174383711909,-0.0407383097716896
"CNRIP1",-0.224987881993711,-0.0795008600800134,0.614949550753333,0.177056508401213,0.377065843541013,-0.104559578371441,0.547990374105806,0.157094277989736,0.340454918789218,0.40620141743405,0.567745917029866,0.518262586699842,0.25678919640051,0.307198882270927
"CNTN2",-0.132556203893259,-0.043619036302413,-0.132556203893259,-0.132556203893259,-0.132556203893259,-0.132556203893259,-0.132556203893259,0.000663817124932603,-0.0562360868189875,0.354502808017501,-0.0882663840602048,0.0540189283270983,-0.0893235201892846,0.0257125072328279
"COL11A1",0.616768476083508,0.331761640399577,0.577837696941936,0.782013437939319,0.18300727273579,0.602285670372715,-0.347394774865009,0.141235466840487,0.359866291729812,0.675863909716583,0.533250990722576,0.326543427201303,0.299501334864278,0.227180860766866
"COL12A1",0.274175032923868,-0.0120628653244274,-0.179449327002077,0.0909620041583622,-0.148080355471356,0.557950209927683,-0.221102015111318,-0.0830919442116517,-0.04787796451454,-0.221102015111318,-0.208246189353207,0.0550155968692665,0.0561735995534528,0.211837125526919
"COL13A1",-0.228778493504372,-0.26212771821103,-0.324234644048204,-0.287636420222895,-0.400060329911275,-0.346037499573447,-0.272741422482126,-0.21476003877925,-0.39378352779439,-0.400060329911275,-0.339741906157364,-0.207215114432261,-0.294332596545662,-0.400060329911275
"COL14A1",-0.290837079477893,-0.270970654140224,-0.313249667110242,-0.302853014558911,-0.333901463357106,-0.333901463357106,-0.284614849742403,-0.13031174483734,-0.2807736159105,-0.0296052714787922,-0.237561704875377,-0.223586240396924,-0.333901463357106,-0.100975513612994
"COL15A1",-0.211259676810056,-0.17164649895009,-0.199640576269954,-0.207839779970559,-0.226350340341957,-0.161652548896719,-0.157735870487545,-0.206118212444694,-0.226350340341957,-0.182589545788273,-0.226350340341957,-0.0994258030118517,-0.226350340341957,-0.226350340341957
"COL19A1",-0.0842146345681089,-0.105326502605488,0.378049823610322,-0.105326502605488,-0.105326502605488,1.01748755323957,-0.105326502605488,0.334035519246924,0.220651771672108,-0.105326502605488,-0.0640575251376499,0.0967800274466214,1.01748755323957,-0.105326502605488
"COL1A1",-0.569025525029929,-0.56676393010933,-0.530712529641052,-0.454688736148687,-0.561931185302131,-0.566220470205513,-0.573570156989044,-0.311778779312465,-0.580218928285664,-0.12716859396469,-0.474135337156665,-0.218294941174218,-0.559858456518042,-0.427253054413274
"COL1A2",-0.22022735548776,-0.185662539935604,-0.138152263750043,-0.339796710282662,-0.370369848862135,-0.381877685973837,-0.154879280184734,-0.0198085895798803,-0.370199718359023,-0.143482427232004,-0.292505199191779,-0.126281217022816,-0.639848578491118,-0.463270428492913
"COL20A1",0.0991820317261304,-0.0710718835535151,-0.0861527420070158,-0.0665201739430377,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0861527420070158,-0.0370655874189871,-0.0861527420070158,-0.0861527420070158
"COL25A1",0.0296580692009651,-0.0415870772244666,-0.184406648204579,-0.218035260319705,-0.218035260319705,-0.218035260319705,-0.218035260319705,-0.167339661432416,-0.218035260319705,-0.218035260319705,-0.185852207468092,-0.162364550153845,0.79379009557372,-0.19919676840127
"COL28A1",0.205552348780601,-0.0894426062461658,0.195436682999828,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,0.409970687070367,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,-0.0894426062461658,0.7909154591144,-0.0894426062461658
"COL3A1",-0.505137463052374,-0.611275567632505,-0.539028355123432,-0.346196713478174,-0.635953078878603,-0.604217409791859,-0.53001375296444,-0.480477815147037,-0.494524757199776,-0.442260496020158,-0.595968689841943,-0.376214310020862,-0.668638652393227,-0.594218400485631
"COL4A1",-0.497739773098715,-0.52690160598202,-0.391197089287142,-0.463843537132097,-0.353526973406582,-0.521462640396378,-0.557235551623296,-0.370311740979383,-0.0383113044064643,0.492631996521037,-0.183763630573148,-0.0651631800930797,-0.264885866343805,-0.26148969946378
