"","timepoints1","timepoints2","timepoints7","timepoints9"
"ARHGAP15",-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.0308109895280982
"ARHGAP18",-0.42609663750813,0.0374863155524472,-0.458873058935758,-0.300194777227372
"ARHGAP19",-0.168798066194674,-0.182378810676955,-0.213413010383202,-0.0859910478065106
"ARHGAP26-AS1",-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269
"ARHGAP36",-0.523450719180296,-0.312819860957638,-0.606166287042525,-0.692016409918376
"ARHGAP6",-0.278582919716774,-0.29151246157304,-0.29151246157304,-0.29151246157304
"ARHGDIB",-0.514095984594421,-0.565822792825026,-0.432365237256379,-0.481413997372714
"ARHGEF15",-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635
"ARID3A",-0.0265990072705127,0.464045814250403,-0.0533378415352569,-0.196376563689499
"ARL4C",0.344704085692742,0.27146181562308,0.485376089713801,0.256383182704822
"ARL6IP1",1.43292550433654,1.59297114043985,0.393637817388353,0.656645809454479
"ARPC1B",-0.518142066532988,-0.504187916001529,-0.371233574957667,0.0846254385635914
"ARPP21",-0.18601348959295,-0.173877922291216,-0.18601348959295,0.148793492853576
"ART3",-0.170168787819178,-0.170168787819178,-0.170168787819178,0.00482731989206848
"ARX",0.285066807080666,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839
"ASB2",-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763
"ASB4",-0.281959162622494,-0.196397815814131,-0.281959162622494,-0.136180082782705
"ASCL1",-0.245528354487656,-0.00474115151024155,-0.190492719996082,-0.024609635189151
"ASCL4",-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715
"ASF1B",-0.242207694258914,0.0565093488419701,-0.222286020760619,-0.155747806305622
"ASGR2",-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035
"ASPM",0.00555233289733056,-0.128991754462684,-0.238812486777428,-0.148927429661317
"ASPN",-0.232244536214181,-0.286689874016257,-0.303004235794145,-0.29710819466648
"ATAD2",-0.163446540209664,0.0248098276072611,-0.105483920892613,-0.112928733234808
"ATAD5",0.121139087432139,0.363906116278138,0.821358861500081,-0.208812798831038
"ATF3",-0.746659210892518,-0.628011267315996,-0.583154956407271,-0.105734455319181
"ATOH7",0.622529050944438,0.30287594543366,-0.205392155903182,-0.205392155903182
"ATP5MGL",-0.0131928135385361,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446
"DMAC2L",0.00342605492974419,-0.17977465810015,0.229286521103372,0.214574453896727
"ATP6V1B1",-0.265538585770186,-0.256288500742461,-0.275750847955054,-0.275750847955054
"ATXN3",0.134110033129251,1.29167408361671,-0.0363552889492839,0.00585405848228051
"ATXN8OS",0.0940367214098125,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602
"AURKA",-0.108327663032655,-0.174166231205863,-0.249682033159262,-0.17356441279892
"AURKB",0.268182043346067,0.16843165955838,-0.139031648849623,0.12800765080364
"AVPR2",-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728
"AZU1",-0.0296085958283449,-0.0817811666283087,-0.0978818038197859,-0.0838699402056506
"B2M",-1.16632273041618,-0.93210169704052,0.0466082394910142,-0.56537647167663
"B3GNT2",-0.159103481503412,-0.273538520028498,-0.466563701880093,-0.202464671853717
"B4GALT1-AS1",-0.0793211173392526,-0.0793211173392526,-0.0793211173392526,0.0274577143504813
"BACE2",-0.294128829243061,-0.202984037830593,-0.307987135698504,-0.213200728680111
"BACH2",0.663652398527315,0.201502295328722,0.0732433483313111,-0.124117726812141
"BAG3",-0.392846703216398,-0.442238445066637,-0.441148189176168,0.108333847253584
"BARX2",-0.0367487842131657,-0.0367487842131657,-0.0367487842131657,-0.0367487842131657
"BASP1",0.474425014727949,0.289205361754387,0.249421876382177,0.395986660020819
"BATF",0.159319618173316,-0.130814773985427,-0.130814773985427,0.00998983818826403
"BATF3",-0.130553051865825,-0.146903438774251,-0.146903438774251,0.00845633384588205
"BBOX1",-0.154121125683193,0.0591976929841697,-0.154121125683193,-0.154121125683193
"BCAN",-0.112709175037948,-0.112709175037948,7.00815236262462,3.06323609912857
"BCL2A1",-0.277698311006719,-0.277698311006719,-0.0398486571627367,0.0944155227897396
"BCL6",0.121684594855874,-0.203559991452881,-0.153858984736466,-0.00560703983081956
"BDKRB2",-0.0900286096710614,-0.0900286096710614,-0.0900286096710614,-0.0900286096710614
"BDNF",-0.20652000381558,-0.166197555842996,-0.2666132552569,-0.2666132552569
"BEND3",-0.151831966525714,-0.151831966525714,-0.151831966525714,0.13822037537502
"BFSP1",-0.0707571405799438,-0.0707571405799438,-0.0707571405799438,-0.0707571405799438
"BGN",-0.509998507374103,-0.472084875260515,-0.542993782418826,-0.542993782418826
"BHLHE41",-0.160579372011555,-0.0893555585781283,0.601625042123279,0.211540242924645
"BIN2",-0.20078440451878,-0.218335443783177,-0.218335443783177,-0.163754181665822
"BIRC3",-0.21725304369498,-0.21725304369498,-0.21725304369498,-0.21725304369498
"BIRC5",0.203000943226458,-0.0938297261957439,-0.297019183156884,0.00541508672823837
"BLVRB",-0.290452745210619,-0.35171092464338,-0.371822253400861,-0.387302853925551
"BMP3",-0.0809951311690411,-0.0479911999107718,-0.195919931068745,-0.195919931068745
"BMP8A",0.116627013732571,-0.137507259467775,-0.176440113460173,-0.15011006009828
"BOLL",-0.0453303396284219,-0.0453303396284219,-0.0453303396284219,0.241679098646676
"BPGM",0.0289488542992646,0.36369608013195,0.31539156414653,0.0921104298070639
"BPI",-0.0894972939437355,-0.107330846993302,-0.107330846993302,-0.107330846993302
"BPIFC",-0.037229405955753,-0.037229405955753,-0.037229405955753,-0.037229405955753
"BRCA1",-0.184855932810252,0.367909301632894,0.0859893740908227,0.00304791666637734
"BRCA2",-0.194767904033066,0.0136833483701792,-0.240608494848563,-0.158549706229168
"BRDTP1",-0.0313886136687462,-0.0313886136687462,-0.0313886136687462,-0.0313886136687462
"BABAM2-AS1",-0.291223176118646,-0.258528614428163,-0.153124296051353,-0.125869385642572
"BSN",-0.222157661102658,1.04586459744153,-0.222157661102658,0.00354364687583938
"BSN-DT",-0.0651392886290075,-0.0651392886290075,-0.0651392886290075,-0.0651392886290075
"BST1",0.178737414619589,-0.151258730946075,-0.151258730946075,-0.129873187966844
"BST2",-0.241260162524348,-0.267487345149206,-0.537585377627566,-0.279774034982815
"BTNL2",-0.0580561726462629,-0.0580561726462629,-0.0580561726462629,-0.0580561726462629
"BTNL8",-0.0415835026132946,-0.0415835026132946,-0.0415835026132946,-0.0415835026132946
"BUB1",-0.0472047577869967,-0.177706414065048,0.0206131938384006,0.0390970956061421
"BUB1B",-0.095568419274049,-0.156757341835058,-0.224815457550937,0.0964178323927083
"DEPP1",-0.416027661310288,-0.536134635940749,-0.626714934583075,-0.560730509036277
"TMEM273",-0.116271651505886,-0.180895077227938,-0.180895077227938,-0.149693531423076
"VSIR",-0.222433427670261,-0.325323174191131,-0.164096316468624,-0.0669640847906552
"C10orf99",-0.0207062542983898,-0.0207062542983898,-0.0207062542983898,-0.0207062542983898
"C11orf16",-0.127763856745128,-0.127763856745128,-0.127763856745128,-0.127763856745128
"C11orf21",-0.0940786228626612,-0.0940786228626612,-0.0940786228626612,-0.0940786228626612
"C17orf64",-0.02934222098467,-0.02934222098467,-0.02934222098467,-0.02934222098467
"C17orf99",-0.136157827549863,-0.125879724309279,-0.0787961559731318,-0.136157827549863
"C1QA",-0.317512562866175,-0.333838720348275,-0.330973143182869,-0.153785432396345
"C1QB",-0.239781078006053,-0.333516676158847,-0.254291854267776,0.0263142337036325
"C1QC",-0.256529201983734,-0.301499624356395,-0.281518992699941,-0.144097434306545
"C1QTNF2",-0.186025018275435,-0.175581298883781,-0.186025018275435,-0.0738716260227378
"C1QTNF3",-0.0622274100646988,0.387355251534177,0.292279240119415,0.116004659612275
"C1orf122",-0.377923437916591,0.0290215898880271,-0.116458392345713,0.60931466340327
"C1orf162",-0.217162706676595,-0.280403600285572,-0.0684304289768788,-0.213501434832648
"C1orf167",-0.0333967753813949,-0.0333967753813949,-0.0333967753813949,-0.0333967753813949
"FYB2",-0.0259687309516144,0.596330278619122,-0.22269556222358,-0.22269556222358
"MIR9-1HG",-0.178314090599886,-0.178314090599886,3.37477599819787,2.94606212318477
"C1orf94",-0.0236799753476237,-0.0236799753476237,-0.0236799753476237,0.26271088109088
"C21orf62",0.180349656462488,0.0186631952895116,0.572225076475527,0.619866595052798
"C2CD4A",-0.277783700072756,-0.169025256096781,-0.277783700072756,-0.277783700072756
"ECRG4",-0.524799086752863,-0.399214545046821,-0.0291651211405358,-0.164264376783054
"RRM2",-0.115662956494688,-0.208574411295224,-0.275306844239858,0.171589850036907
"C3",-0.0729381418321918,-0.136865109683495,0.368060699943448,1.47205544114691
"C3AR1",-0.196790274932076,-0.233638597781967,0.0802782815358792,-0.0712505350252727
"C3orf80",-0.0841363721856501,-0.0841363721856501,0.355281250847155,-0.0841363721856501
"C4orf48",0.110807262808888,-0.0215389864170199,-0.485465958256251,0.22286390062099
"C5AR1",-0.290393671704359,-0.397895772420611,0.210069403091387,-0.309536280226699
"C5orf66-AS2",-0.034026190455997,-0.034026190455997,-0.034026190455997,-0.034026190455997
"BNIP5",-0.0322047046273272,-0.0322047046273272,-0.0322047046273272,-0.0322047046273272
"MPIG6B",-0.12470240763452,-0.12470240763452,-0.12470240763452,0.200180632271916
"CXCL10",-0.322817928348772,-0.312661388958076,-0.335646227544838,-0.316739176049135
"C8orf34",-0.135091116146945,-0.068699505851154,-0.180234792743041,-0.180234792743041
"C8orf37-AS1",-0.0486100933384611,-0.0486100933384611,-0.0486100933384611,-0.0486100933384611
"TCIM",-0.506538986208791,-0.429962466992162,-0.126357991977848,-0.544938037999306
"VXN",-0.0175779771159959,-0.0735549341880343,3.00445569802339,0.74720071879202
"C9orf135",-0.293873999118266,-0.293873999118266,-0.293873999118266,-0.293873999118266
"LINC02872",-0.0502890426165673,-0.0502890426165673,-0.0502890426165673,0.535149652532398
"C9orf24",0.131687239008758,0.0519664794779746,-0.307757078513986,-0.00356139537132064
"CARNMT1",-0.121802083716725,-0.121802083716725,-0.121802083716725,0.0811315148834378
"C9orf47",-0.163782177298777,-0.163782177298777,-0.163782177298777,-0.163782177298777
"DOCK8-AS1",0.0611724388167587,-0.08096412869414,-0.08096412869414,-0.08096412869414
"C9orf92",-0.0332134699377171,-0.0332134699377171,-0.0332134699377171,-0.0332134699377171
"CA1",-0.126052463068671,-0.126052463068671,0.00357644281628976,-0.126052463068671
"CA12",1.4406384118654,1.86321650756282,3.4561382569461,1.54025425192659
"CA2",1.00106667376294,0.553531241269705,0.527516086231487,2.52741536470536
"CA4",-0.100080041329707,-0.100080041329707,-0.100080041329707,-0.100080041329707
"CABP5",-0.0522761485298851,-0.0522761485298851,-0.0522761485298851,-0.0522761485298851
"CACNA1B",-0.212162308468097,-0.239504131220221,0.0157814317227957,-0.239504131220221
"CACNA1C-AS4",-0.0696982200681006,-0.0696982200681006,-0.0696982200681006,-0.0696982200681006
"CACNA1C-IT3",-0.0443430116112464,-0.0443430116112464,-0.0443430116112464,-0.0443430116112464
"CACNA2D3",-0.281701542020104,-0.315142208722056,-0.315142208722056,-0.315142208722056
"CAD",-0.145913849421872,0.380090098847858,0.101299308226792,0.0361219859188596
"CADM2",-0.106720923429483,-0.101137630453749,1.12276448718802,1.05869750652468
"CAGE1",-0.0534931113232765,-0.0813003636317686,-0.0813003636317686,0.206736789614853
"CALB1",-0.120394631925465,0.0707732133696014,-0.371635763141985,-0.272347853086446
"CALB2",-0.39406163031579,-0.38692940293415,-0.402389200259901,-0.173627498726909
"CALCA",-0.0651120535103918,-0.0651120535103918,0.535269204062349,-0.0651120535103918
"CALR3",-0.0332578817924836,-0.0332578817924836,-0.0332578817924836,-0.0332578817924836
"CALY",-0.565066402878612,-0.547471957008167,-0.608207558377157,-0.488505685975734
"CHAMP1",-0.0395548531149494,-0.111855966434724,-0.0317139756943301,-0.0624291974978742
"CAMTA2",-0.0451696028452197,-0.41014564759065,-0.370748732171793,-0.292174097486226
"CAPG",-0.434505690265084,-0.276827203725901,-0.479097274023128,-0.494593646000685
"CAPSL",-0.399772366362062,-0.416314192019147,-0.472706037908985,-0.472706037908985
"CARD16",-0.26844194905285,-0.26844194905285,-0.26844194905285,-0.232773434661775
"CARTPT",0.0861248027907965,-0.0843628612360105,-0.0843628612360105,-0.0843628612360105
"KNL1",-0.0802614142532433,-0.192036949872446,0.00357754669741981,-0.154800711789765
"CATSPER1",-0.050566749442714,-0.050566749442714,0.317194735456134,-0.050566749442714
"CATSPER3",-0.07767909931842,-0.07767909931842,-0.07767909931842,0.114581368894444
"CAV1",-0.199858284948018,-0.0888169017111578,-0.113752418884092,-0.220659711697604
"CBLN1",-0.135080904256615,-0.135080904256615,-0.135080904256615,0.282238624294705
"CBLN2",2.46846002618253,3.54329429082389,-0.00192900989862798,0.687174403579756
"CFAP65",-0.398436688922477,-0.442270919197879,-0.457074797443059,-0.457074797443059
"CCDC141",0.265487643658196,-0.0589961015531976,-0.0589961015531976,-0.0589961015531976
"CCDC17",0.363901036673257,0.772690867853717,-0.0702211151115735,-0.0702211151115735
"CCDC170",0.136966839397659,-0.191039080851657,-0.191039080851657,-0.191039080851657
"CCDC34",0.342080031013026,-0.294475104070927,0.0766566218935893,-0.0457524411497875
"CCDC39",0.0213352317940325,-0.152170711001775,1.04761133797526,-0.203977203655951
"CCDC62",-0.102341453655235,-0.102341453655235,-0.102341453655235,-0.102341453655235
"DEUP1",-0.178160630939185,-0.197242895704562,-0.230143841307152,-0.230143841307152
"CCDC69",-0.270736162412554,-0.2699565608464,-0.300722444238156,-0.293549681326845
"CCDC88A",0.105621072613068,0.0419041230662571,0.0602284804715896,0.937996177236021
"CCK",-0.15684178955311,0.130700816785792,-0.15684178955311,0.0834258146178696
"CCL2",-0.359753492478021,-0.397995053076547,-0.108817838015758,0.0660580308747528
"CCL20",-0.0998385581584291,-0.117867055149244,0.00849999953291193,-0.050302282354999
"CCL21",-0.0768954664304386,-0.0768954664304386,-0.0768954664304386,-0.0768954664304386
"CCL22",-0.0648976133456489,-0.0648976133456489,-0.0648976133456489,-0.0648976133456489
"CCL23",-0.0540114564688413,-0.0540114564688413,-0.0540114564688413,-0.0540114564688413
"CCL3",-0.429917585691115,-0.418750998449773,0.310485878125897,0.502219077270881
"CCL4",-0.48397540290257,-0.503541706031507,-0.171799370612388,0.572535851560469
"CCL5",-0.0750995820166803,0.0239925693398355,0.543749203970011,0.176909809567286
"CCL8",-0.082992475069619,-0.082992475069619,-0.082992475069619,0.171027761203109
"CCNA2",-0.167280976064195,-0.189988488088539,0.0463047950734116,-0.0625803991651342
"CCNB1",0.0682927941639958,0.281079902519264,-0.391462895154009,-0.0365453483024277
"CCNB2",0.193914158179704,-0.10546622029338,-0.152066253159401,-0.00192097925976829
"CCR1",-0.208203691300107,-0.208203691300107,-0.0899484899047797,-0.208203691300107
"CCR2",-0.107316400943957,-0.107316400943957,-0.107316400943957,-0.107316400943957
"CCR5",-0.10977433023144,-0.10977433023144,-0.10977433023144,-0.10977433023144
"CCR7",-0.105021034732453,-0.105021034732453,-0.105021034732453,-0.105021034732453
"CCRL2",-0.202507447053232,-0.202507447053232,-0.202507447053232,-0.202507447053232
"CD14",-0.309312900920304,-0.342799747134394,-0.249147100791274,-0.298642448309579
"CD160",-0.0967182218144142,-0.0967182218144142,0.598264504690676,-0.0967182218144142
"CD163",-0.260973957402256,-0.273339804487591,-0.18206198587258,-0.28017904479597
"CD163L1",-0.19108813939084,-0.19108813939084,-0.19108813939084,-0.19108813939084
"CD177",0.101446559845352,-0.0462117950678446,-0.0660431387623252,-0.0660431387623252
"CD19",0.2564917237325,-0.0682918854764165,-0.0682918854764165,-0.0682918854764165
"CD1A",-0.046091299926436,-0.046091299926436,-0.046091299926436,-0.046091299926436
"CD1C",-0.138531417532932,-0.138531417532932,-0.138531417532932,-0.138531417532932
"CD1D",-0.196313231439523,-0.196313231439523,-0.0866898879090425,-0.196313231439523
"CD1E",-0.0673447422816489,-0.0673447422816489,-0.0673447422816489,-0.0673447422816489
"CD2",-0.102511514263933,-0.102511514263933,-0.102511514263933,-0.102511514263933
"CD209",-0.144137288884648,-0.144137288884648,-0.144137288884648,-0.144137288884648
"CD244",-0.0898312400710609,-0.0898312400710609,-0.0898312400710609,-0.0898312400710609
"CD247",-0.114619816483503,-0.114619816483503,-0.114619816483503,-0.114619816483503
"CD28",-0.155131698632506,-0.155131698632506,-0.155131698632506,-0.155131698632506
"CD300E",-0.0501860537952248,0.0741731500326462,-0.132225575528914,-0.132225575528914
"CD300LB",-0.100708256895021,-0.162414012508181,-0.162414012508181,-0.00642375412269737
"CD300LF",-0.127439744774176,-0.127439744774176,-0.127439744774176,0.107533042686576
"CD33",-0.188049414611935,-0.188049414611935,-0.188049414611935,-0.108389189944576
"CD34",-0.0439492544978339,-0.1942681424474,-0.202079478958871,-0.202079478958871
"CD36",-0.289288964401425,-0.354362555531699,0.0308501160880006,-0.215606005859031
"CD37",-0.258161914532644,-0.258161914532644,-0.258161914532644,-0.148749724050208
"CD3D",-0.123700667418499,-0.123700667418499,-0.123700667418499,-0.123700667418499
"CD3G",-0.100471176123905,-0.100471176123905,-0.100471176123905,-0.100471176123905
"CD4",-0.279431251679679,-0.256854116125637,-0.279431251679679,-0.0424626868760125
"CD40",-0.195974888159683,-0.225534265426956,-0.225534265426956,-0.151735483575551
"CD40LG",-0.0557727365046264,-0.0557727365046264,-0.0557727365046264,-0.0557727365046264
"CD44",-0.0913670517568947,-0.04066367436503,-0.139898143811942,0.461957421751699
"CD48",-0.175602895812191,-0.210257249705871,-0.210257249705871,-0.210257249705871
"CD52",-0.216623081294051,-0.234624142425692,-0.234624142425692,-0.212742059704905
"CD53",-0.326150436854657,-0.337232010933797,-0.196229011517843,-0.0271031377732327
"CD55",-0.648678628625827,-0.449713057218292,-0.582356830243532,-0.476721316818874
"CD5L",-0.0503109012988264,-0.0503109012988264,-0.0503109012988264,-0.0503109012988264
"CD68",-0.245841782566781,-0.23001949658605,-0.249608078035427,-0.14426817214348
"CD69",-0.202102582981041,-0.26781524498309,-0.216714839383943,0.547895432739614
"CD70",-0.0782194958689392,-0.0782194958689392,-0.0782194958689392,-0.0782194958689392
"CD74",-0.522104893108097,-0.594778615011398,-0.341368106169615,-0.525192334945595
"CD79A",-0.069983502664784,-0.069983502664784,-0.069983502664784,-0.069983502664784
"CD79B",-0.333903285140767,-0.327594902946263,-0.340482385783056,-0.340482385783056
"CD80",-0.0666629299737926,-0.0666629299737926,-0.0666629299737926,-0.0666629299737926
"CD82",0.325209938406985,0.130569198443019,1.32725170531238,0.784799847999979
"CD83",-0.48373654922345,-0.404856323987655,-0.379684552072315,-0.0172137095455887
"CD84",-0.195248737815725,-0.144801529042658,-0.195248737815725,0.0977879943651458
"CD86",-0.240899720449694,-0.240899720449694,-0.144625486213071,-0.143988404183249
"CD9",-0.634122426436792,-0.546619188003931,0.874655796048671,-0.175824711547989
"CD93",-0.257874004239326,-0.278886420022629,-0.278886420022629,-0.278886420022629
"CDA",-0.09409486273778,-0.0798912154388532,-0.09409486273778,-0.09409486273778
"CDC20",0.0289892019786238,0.0897517530149456,-0.24756512827125,-0.0443091216087594
"CDC25C",-0.165473603684737,0.149836405633521,-0.165473603684737,-0.0934795661364951
"CDC42EP2",-0.129568806352964,-0.0191001809694859,0.0377333368522171,0.504262093033912
"CDC42EP3",-0.351504208754262,0.25373466919691,-0.183994549481557,0.108567281755699
