"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints5","timepoints6","timepoints7","timepoints8","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"A2M",0.287980796900513,1.00294490933326,1.19783214808172,1.03873694319933,0.85425981040914,1.63046502007709,2.23460066713364,2.02404566917334,1.41462913385897,1.55968785640571,1.73593447842503,1.58673650325557,1.3838400315592,1.80184688843923,1.70265064888684
"AARD",-0.141941776241673,-0.0932566347592937,-0.122793657740961,-0.0898621144217799,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.0924737737177703,-0.0895479341702932,0.0102314413086105,-0.141941776241673,-0.0173000557237807,-0.0472005382866365,0.433914175298424,-0.0750795929426826
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,0.00142986272006464,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,0.0754922136416721,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0600776840109699,0.0184654520003351,0.0146058078129331,0.0149975225861269,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.15861965694579,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.0041987630502968,-0.0600776840109699,0.0225853331467424
"ABCB1",-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,0.0917874035222433,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0477315806075603,-0.0437771822392346,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0103781601128412,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.120471392412442,-0.143941175887982,-0.0893153905576632,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.106520400783167,-0.143941175887982,-0.143941175887982,-0.108673491325501,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,-0.0958373793994046,-0.0826013854744578,-0.0473626278854527,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.106666573096777,-0.10136859123246,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.109794886604586,-0.0423105583234643,-0.0979989640424788
"ABCC8",-0.260230582539733,-0.230240562030375,-0.206859203269551,-0.253261656103269,-0.267815155511825,-0.267815155511825,-0.221722964457101,-0.267815155511825,-0.189568073239599,-0.261711601688564,-0.267815155511825,-0.243830934283617,-0.202672231008377,-0.218599327251508,-0.25826769808577
"ABCD2",0.439322143970137,-0.0735221782893502,-0.0735221782893502,0.00165336035460021,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,0.0396929594880256,-0.0735221782893502,-0.0735221782893502,0.0369904186788813,-0.0735221782893502,0.0283667656606509
"ABCG2",0.283013123244805,0.296764507445331,0.493781446429183,0.101435796546015,0.839792627276554,0.18205747429316,-0.0115709126205587,-0.17061666851784,0.0337169827387855,0.192791486830312,0.195850780858379,0.171481203575333,0.0145574823752861,-0.127704404520372,-0.231030658754519
"ABHD17C",0.0232385985411622,0.310708505104229,0.366774310822427,0.0496872480052256,-0.263159174349314,0.0736225468382925,0.0867606750844024,0.354822983620303,-0.244647873100781,-0.242264513428346,-0.187161976357578,-0.0970129790621209,-0.0118749828208019,-0.205738410844952,-0.08120841808579
"ABHD6",-0.312298888205735,-0.199410240944224,-0.259938538439758,-0.120023196073918,-0.342687091564795,-0.259082685032528,-0.27734032125015,-0.319640256221217,-0.251523001572704,-0.236673107770411,-0.169193584757502,-0.234555060974418,-0.22713997826274,-0.0406783290632198,-0.312786541396515
"ABI3",-0.211110996609659,-0.0929295385189297,-0.160058754155591,-0.10608629696333,-0.235428386471396,-0.167662375508467,-0.235428386471396,-0.158498209251974,-0.0567029310070164,-0.104129363597902,-0.202112716703607,-0.208221828560143,-0.136279518719441,-0.235428386471396,-0.211037764256805
"ACKR1",-0.147281717520753,-0.134584408028919,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.10559107413082,-0.124585846646454,-0.112868579609917,-0.00138834346716144,-0.12166852528739,-0.0850035453718151,-0.0362021798173069
"ACOT7",-0.55963404351204,-0.440541389151139,-0.376919170484269,-0.491308748167961,0.00550480941912131,-0.493123168368215,-0.442733976618413,-0.481628624762891,-0.327470184762974,-0.440824305061979,-0.524686266393743,-0.274454479690695,-0.383425256783891,0.127235397087752,-0.436889669625487
"ACP5",-0.1265889452272,-0.079286865629238,-0.0977444217148419,-0.1265889452272,-0.1265889452272,-0.0452127946094356,-0.1265889452272,-0.1265889452272,-0.00401492771910834,-0.0360776512655453,-0.1265889452272,0.131152003799349,-0.0535775860216996,-0.1265889452272,-0.0782750293011341
"ACTA1",-0.108535845884236,-0.108535845884236,0.0420268011547741,-0.108535845884236,-0.108535845884236,-0.108535845884236,0.396890946409975,-0.108535845884236,-0.108535845884236,-0.0531466936993841,-0.000426130676866171,-0.108535845884236,-0.0415918998850031,-0.108535845884236,0.0523927971003581
"ACTG2",-0.0604513063521137,0.0494989811490023,-0.0604513063521137,0.111048770061274,-0.0604513063521137,0.280580941320839,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,0.113512519428813,0.576801208328703,0.122465990127016,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137
"ACY3",-0.119102625376292,-0.11170193429453,0.00898017884670879,-0.0737397407524118,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.100247817679822,0.0288384066645445,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292
"ADAM21",-0.0403579803482727,0.0145073638066359,-0.0403579803482727,0.00471474675852433,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727
"ADAMDEC1",-0.0702286917372639,-0.0609832162329213,-0.0702286917372639,-0.0249000535555682,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0245169670661199,0.00472771485495503,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,0.0555538986679519
"ADAMTS8",-0.0712465355450198,-0.0233144579716797,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,0.0994525582777772,-0.0712465355450198,-0.0712465355450198,0.0277622489685078,0.0458609823101549,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,0.0127258028177085
