"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints6","timepoints7","timepoints9","timepoints10","timepoints11","timepoints12","timepoints13","timepoints14","timepoints15"
"A2M",-0.6489166729675,-0.329208835386789,-0.555281403741417,-0.409321576175325,-0.32645052714267,0.0948284185261938,-0.478184783998608,-0.11474594225666,-0.532709228612656,-0.647395995756267,-0.285537730133673,-0.670558527482738,-0.585764961936445
"AARD",-0.0778705037070315,-0.0486779745285349,0.0755407779186245,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.013884454900845,-0.141941776241673
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0600776840109699,-0.0600776840109699,0.120753211313201,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.0718384126677726,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.0928491530251399
"ABCB1",-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,0.202646928677615,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.143941175887982,-0.143941175887982,0.11022297152899,0.473043846000638,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,1.45430731968051,2.31783060003713,3.0854552445767,3.09932760515281,-0.116747125484902,1.73025320973292,0.00601186573180921,1.90660229961208,2.41243965588632,0.64929079487829,1.42626416944092,3.23655664979387
"ABCC8",-0.267815155511825,-0.267815155511825,0.276102264202578,-0.267815155511825,-0.267815155511825,-0.267815155511825,-0.155257174327209,-0.267815155511825,-0.242604828718122,-0.0283407603085741,-0.15904855685747,-0.0370797744566255,-0.233784239798399
"ABCD2",-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,0.492347414229395,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502
"ABCG2",0.687906931099355,0.517209279497425,0.503561219425259,0.371391586404122,0.0144518721738439,0.25164348437207,0.198035266760245,-0.0474798818826997,0.311400262044696,0.0662672537236485,0.607139391538639,0.292707765485418,0.830621702688893
