"","timepoints2","timepoints4","timepoints5","timepoints6","timepoints9","timepoints10","timepoints12","timepoints13","timepoints15"
"A2M",-0.717507426773305,-0.715223871586708,-0.730800382281078,-0.576265892017662,-0.627160170018849,-0.671657562419289,-0.714871800598558,-0.639026591679676,-0.697202109406888
"AARD",-0.0778664122557729,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.141941776241673
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",0.569509810549583,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.0942063098671535,-0.143941175887982,-0.143941175887982
"ABCC13",-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902
"ABCC8",0.125207217415497,1.03364081307579,-0.267815155511825,1.53285641768084,1.69653959499173,1.39458125018015,0.971346329686016,0.20909668296154,1.6548556030882
"ABCD2",0.486117942726725,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,0.0322103218891268,-0.0735221782893502
"ABCG2",-0.348592372341274,-0.226071911622828,-0.348592372341274,-0.348592372341274,-0.202225979775989,-0.287190911190565,-0.334960608434852,-0.242782086251663,0.0105700101388379
"ABHD17C",0.29234131538303,-0.263159174349314,-0.263159174349314,0.456804298717841,-0.263159174349314,-0.263159174349314,-0.157865492226321,-0.236955570476373,-0.263159174349314
"ABHD6",-0.110380262606637,-0.342687091564795,0.62124938950591,0.43393840402513,0.683368901169417,-0.342687091564795,0.370698892314969,0.320955411216622,0.0237653921019757
"ABI3",-0.207354386023285,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.235428386471396,-0.0951652509774144
"ACKR1",-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.129371081755776,-0.147281717520753
"ACOT7",-0.428780785548767,-0.616997647631911,0.0099098479892595,-0.596363224481122,0.249744654219064,-0.56380652867089,0.0984675461046804,-0.258365889882534,-0.415587939994055
"ACP5",-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272,0.0672888275903249,-0.1265889452272,-0.1265889452272,-0.1265889452272,0.20510999361882
"ACTA1",-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236
