"","timepoints2","timepoints4","timepoints5","timepoints6","timepoints9","timepoints10","timepoints12","timepoints13","timepoints15"
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,0.138473541400849,-0.0604513063521137,0.4134630779238,-0.0604513063521137
"ACY3",-0.0617183906475869,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.072766950620437,-0.119102625376292
"ADAM21",-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,0.55025131261339,-0.0403579803482727,-0.0403579803482727
"ADAMDEC1",-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,0.065621429182329,-0.0702286917372639
"ADAMTS8",-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,0.325804709501829,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.00147044889063607,-0.0712465355450198
"ADAMTSL3",-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435
"ADAMTSL5",-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,0.220480702444229,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222
"ADAP2",-0.263265117600787,-0.263265117600787,-0.263265117600787,-0.263265117600787,-0.263265117600787,-0.229963864382788,-0.193487475785557,-0.230037208180296,-0.17546412422442
"ADGRE5",-0.310189025246922,-0.33328960330188,-0.33328960330188,-0.33328960330188,-0.33328960330188,-0.24122670956173,-0.304524074248208,-0.309586406111042,-0.33328960330188
"ADGRF3",-0.10163007333484,-0.10163007333484,-0.10163007333484,-0.10163007333484,-0.10163007333484,0.0633748309013604,-0.10163007333484,-0.0335613062731239,-0.10163007333484
"ADGRG6",-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.117757352714262,-0.0781338051071917,-0.117757352714262
"ADGRL4",-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.130436617541344,-0.00647790338512974,-0.130436617541344
"ADH1A",-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367
"ADIRF",-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,-0.161101423940124,0.0676266587092035,-0.152633821968801,-0.161101423940124
"ADM",-0.446232777771047,-0.401972429727439,-0.514421982657764,-0.514421982657764,-0.377156325051495,-0.472761534516627,-0.473896414669873,-0.163828411152562,-0.514421982657764
"ADPRH",-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798
"ADRA1B",-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145
"ADRA2C",-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0209942334247182,-0.0769220865407734
"AGAP1-IT1",-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973
"AGR2",-0.664715315154182,0.658818128748345,-0.230537470444379,0.0303708652189419,0.0769085411361015,0.678993061491479,0.132500040341723,0.523346778675933,-0.622794761812711
"AGR3",-0.278333938811721,1.34362162751222,0.68006100902275,-0.107754295286113,-0.36466705830677,-0.132910392385584,-0.381279626064275,-0.000363368559751486,0.0895199358485529
"AGRP",-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209
"AGXT",-0.187148885763461,-0.187148885763461,-0.187148885763461,-0.187148885763461,0.580398365698935,-0.187148885763461,-0.187148885763461,0.519308992791053,-0.0475164942656633
"AHSP",-0.337031071419506,-0.294436356151212,-0.327495574751431,-0.310970192807715,-0.240339663888313,-0.365021583742738,-0.329731819812013,-0.192393656864295,0.215767396074652
"AIF1",-0.354967698223605,-0.455983795608174,-0.471546726272117,-0.41132712266509,-0.399602978709901,-0.328364266798836,-0.383558662665576,-0.239543594097885,-0.272299543815439
"AIM2",-0.146023877605682,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033
"AJAP1",-0.102382763325236,-0.102382763325236,-0.102382763325236,0.250106336749577,-0.102382763325236,-0.102382763325236,-0.102382763325236,-0.102382763325236,-0.102382763325236
"AKAP12",-0.261716094010012,-0.393838326030759,-0.901291537494032,-0.503026965615839,-0.512652782527069,-0.505349455682481,-0.136539465472473,-0.343468500810407,-0.0398046762367266
"AKR1B15",-0.0261941128547878,-0.0261941128547878,3.31587059143014,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878
"AKR1C6P",-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601
"ALAS2",-0.21791723975494,-0.101187859305443,-0.28680029638992,-0.245154666332627,-0.222798143619942,-0.28680029638992,-0.208142873249186,-0.10983653070145,-0.0199093581125824
"ALDH1A1",-0.139836712233328,-0.0460055685023593,-0.682621313687708,-0.296526973139902,-0.521472360769074,-0.723327228480055,-0.58238214454764,-0.392664601382358,-0.449949658537198
"ALDH1A2",-0.110567192107608,-0.442957351354411,-0.35720575768994,-0.0159585950394328,-0.0850557343832377,0.0849083348203749,-0.0796147200816298,0.220287144697846,-0.102226821659225
"ALDH3A1",-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278
"ALOX12B",-0.0163855143568371,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,1.61419013385778,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684
"ALOX15",-0.21293640860241,-0.0588510318687812,-0.21293640860241,0.321124939887223,-0.21293640860241,-0.21293640860241,-0.21293640860241,0.323043620521561,-0.21293640860241
"ALOX5AP",-0.212332929800453,-0.246982322893558,-0.246982322893558,-0.174406936467661,-0.246982322893558,-0.246982322893558,-0.246982322893558,-0.213923253965395,-0.0513093419076419
"ALPK1",-0.150359974076216,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335
"FLACC1",-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742
"JAML",-0.281071845541082,-0.281071845541082,-0.281071845541082,-0.281071845541082,-0.258293374300954,-0.202969851568594,-0.24487624625669,-0.215756404769936,-0.281071845541082
"AMPD1",-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478
"ANGPT1",-0.442809756148614,-0.550335839473215,-0.591068621231676,-0.591068621231676,-0.469065495570567,-0.591068621231676,-0.513395104508789,-0.552743043300198,-0.591068621231676
"ANGPT2",-0.0198910270791955,-0.0952974754520436,1.22116908664372,0.238865881952831,-0.160888553933335,1.54902673871022,-0.183721647081492,-0.157303054075428,-0.304393881333113
"ANGPTL1",-0.289425716969793,-0.289425716969793,-0.289425716969793,-0.289425716969793,-0.149019016892322,-0.1557855391121,-0.289425716969793,-0.289425716969793,-0.289425716969793
"ANGPTL4",-0.258536255045289,-0.268746396977308,-0.268746396977308,-0.268746396977308,-0.268746396977308,-0.268746396977308,-0.252062899029098,-0.209884144799437,-0.268746396977308
"ANK1",-0.0262193551317279,-0.16931670404394,2.18184005343579,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.0558675980456938,-0.119911045539024,-0.16931670404394
"ANKRD1",-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664
"ANKRD19P",-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.101403227885339,-0.0778929861720163,1.11292540819497
"ANKRD34C",0.496043038593988,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247
"ANKRD50",0.25544367879123,0.363639079614012,-0.382447098450261,0.663571172229203,0.0749750886004113,0.0379899760896891,0.175805871048374,0.576707499746485,-0.0580214022818358
"ANKRD9",-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.057429665300333,-0.132870054672532
"ANKS4B",-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918
"ANLN",-0.110270558628053,-0.166970375824458,-0.237602534045907,-0.237602534045907,-0.237602534045907,-0.237602534045907,-0.219480746304603,-0.138141757934901,-0.237602534045907
"ANXA1",-0.527719066690074,-0.0152597570717576,-0.605150395560263,-0.644959138605147,-0.561259465190823,-0.584817355140364,-0.603241937543057,-0.333872646512342,-0.515802888888596
"ANXA2",-0.648680564016493,-0.644269092092345,-0.790393326199133,-0.726317146987321,-0.699938398132868,0.281534776903045,-0.783258770526408,-0.557600319340055,-0.261164223488449
"ANXA2R",-0.125853363643615,-0.125853363643615,-0.125853363643615,-0.0586017194038213,-0.125853363643615,-0.125853363643615,-0.125853363643615,-0.125853363643615,-0.125853363643615
"ANXA3",0.0675284794786393,-0.00400332876185298,-0.284805712766358,-0.187242749112949,-0.284805712766358,-0.230133444813895,-0.268337548237986,-0.132543941574329,-0.284805712766358
"APBB1IP",-0.226054389316592,-0.226054389316592,-0.226054389316592,-0.226054389316592,-0.226054389316592,0.743497258545149,-0.226054389316592,-0.209769674766056,-0.226054389316592
"APBB2",0.176072131923459,0.74041158889312,0.344212889678011,0.153372315411224,0.0951964977447834,-0.213138461061241,-0.0202178101409436,-0.341116018308691,-0.372872133726981
"APCDD1L-DT",-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822
"APLNR",-0.142368540443132,-0.189601963616464,-0.189601963616464,-0.189601963616464,-0.189601963616464,-0.136514329886191,-0.189601963616464,-0.167701949244341,-0.189601963616464
"APOA2",-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795
"APOBEC3A",-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.0729020027940273,-0.11218907269889
"APOBEC3D",-0.0701538720983079,-0.115605709016721,-0.115605709016721,-0.115605709016721,-0.115605709016721,-0.115605709016721,-0.115605709016721,-0.0887159121943948,-0.115605709016721
"APOBR",-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.0786914465441413,-0.0393528902062492,-0.042298708897452,-0.164579104636091
"APOC1",-0.237675515680423,-0.316301730679347,-0.316301730679347,-0.286682969524027,0.16051712023388,-0.0286936389699811,-0.280917697501844,-0.195087142126041,0.585308409127932
"APOD",-0.436481077448072,-0.451583843724321,-0.472148168595584,-0.381928904237136,-0.460467060398697,-0.424847495279924,-0.472148168595584,-0.286290997042943,-0.472148168595584
"APOE",-0.282435415819815,-0.307048520262674,-0.307048520262674,-0.243907240773058,-0.0716898222428117,-0.24091963547055,-0.307048520262674,-0.27183209867429,0.201540227093528
"APOLD1",-0.0659729569892409,-0.315434699708175,-0.390527001834938,-0.390527001834938,-0.0126626623326824,-0.0244374054327806,-0.163505250074564,-0.0727015749499716,-0.312741878743814
"AQP1",-0.106684788860242,-0.106684788860242,-0.106684788860242,-0.106684788860242,0.0760817185979728,-0.106684788860242,-0.106684788860242,-0.0765638379507129,-0.106684788860242
"AQP4",-0.102596097870496,-0.102596097870496,-0.102596097870496,1.340631916111,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496
"ARFIP2",0.533936090667224,-0.741859398733644,0.872388884982324,0.948530463918886,0.0460330203343396,1.01143716708323,0.196076659745418,-0.217003548855692,0.126378618416202
"ARG2",0.0200823324775563,-0.562444326608995,0.21530189255908,-0.399213005193642,-0.436342273031819,-0.533796324898076,-0.328485944347843,0.313030014871933,0.711402348244909
"ARHGAP11A",-0.227742120175509,1.32189459287621,-0.227742120175509,0.167592764745586,-0.227742120175509,-0.227742120175509,-0.227742120175509,-0.144133733643032,-0.227742120175509
"ARHGAP11B",-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.0290342454453329,-0.104643324945844,-0.104643324945844
"ARHGAP15",-0.061222669475202,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.141740031519935,-0.186759471747397
"ARHGAP18",-0.16025476872811,0.35013057790893,-0.458873058935758,-0.409813417345564,-0.458873058935758,-0.458873058935758,-0.294794734640964,-0.304239404694292,-0.354602311522994
"ARHGAP19",-0.0285716829874923,-0.108454402737635,-0.213413010383202,-0.213413010383202,0.0066106029190423,-0.213413010383202,0.380494008113392,-0.19335909929871,-0.0149948793050891
"ARHGAP26-AS1",-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269
"ARHGAP36",0.12633497422088,1.0861117340168,-0.692016409918376,0.270319274205665,-0.558417960655313,-0.551044174103723,-0.114312760834927,-0.539174017872538,-0.692016409918376
"ARHGAP6",-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.29151246157304,-0.260530021419665,-0.237351220468363,-0.29151246157304,-0.273871273790382,0.312417048164339
"ARHGDIB",-0.536709863033628,-0.624954313926836,-0.624954313926836,-0.571342108881913,-0.471460698162576,-0.521200551583429,-0.591794801887063,-0.534014401497025,-0.457280360327619
"ARHGEF15",-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.105636744992635,-0.0547064529818707,-0.105636744992635
"ARID3A",-0.0340322063916767,-0.304041407769999,-0.304041407769999,-0.0767540636950804,0.0234911662657052,1.14102947004356,-0.215584849701339,-0.0667279636206408,-0.304041407769999
"ARL4C",-0.170311477056989,-0.3629870671463,-0.3629870671463,-0.237241934633437,-0.3629870671463,-0.234128379439944,-0.181147393467892,-0.267736724590993,0.906164838888678
"ARL6IP1",0.66531061902898,0.996087074980441,0.684024094100248,0.918612198119223,0.625168752342045,-0.187947229079085,1.01091184748763,-0.0639340011440653,0.50226621516493
"ARPC1B",-0.0837491768000965,0.354463371877566,-0.622397004203315,0.0403498039506304,-0.40820066811584,-0.0642545989902659,-0.380354458927501,-0.477361070449344,-0.11690398846002
"ARPP21",-0.18601348959295,-0.18601348959295,-0.18601348959295,-0.18601348959295,-0.18601348959295,-0.18601348959295,-0.18601348959295,-0.152635598734512,-0.18601348959295
"ART3",-0.170168787819178,-0.170168787819178,0.271601198958898,-0.170168787819178,-0.170168787819178,-0.170168787819178,-0.170168787819178,-0.0070461268397971,-0.170168787819178
"ARX",-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839
"ASB2",-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763
"ASB4",-0.0943929462844008,-0.281959162622494,-0.281959162622494,0.492055652062847,-0.281959162622494,-0.212006622267424,0.285705712600104,-0.18979182745694,-0.281959162622494
"ASCL1",1.85013789325394,3.15973301525598,3.32106173447293,2.61411281502051,1.84604708544756,3.28883225950033,2.4712288894602,2.94706642686145,1.15401932484433
"ASCL4",-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715
"ASF1B",-0.257554093389978,-0.0355538911767156,-0.176961564840417,0.0890295277217509,-0.28251044993159,-0.234427969432962,-0.262193211775073,-0.260712385475139,-0.28251044993159
"ASGR2",-0.041076502300297,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035
"ASPM",-0.227474493414917,-0.238812486777428,-0.238812486777428,-0.238812486777428,-0.0414898577898352,-0.238812486777428,-0.238812486777428,-0.211788103545162,-0.140975720111537
"ASPN",-0.237659326152707,-0.196084635654715,-0.303004235794145,-0.303004235794145,-0.303004235794145,-0.269563913763192,-0.303004235794145,-0.282494781540013,-0.303004235794145
"ATAD2",-0.353495244493289,-0.463753708183384,-0.380162203090894,-0.259117652453986,-0.449010149470121,-0.43798009467015,-0.455990282159139,-0.432852821066511,-0.339749989100921
"ATAD5",0.130345764907019,-0.327997701084823,-0.189428219481856,-0.327997701084823,-0.262155619724425,-0.327997701084823,0.326944958266857,0.119901243166635,0.841882191988618
"ATF3",-0.508025272490231,-0.768739750360949,-0.751699745449744,0.342047120114766,0.198112343237869,0.862705330011397,0.755118681078383,1.64721746953587,0.422632626339864
"ATOH7",-0.047769006060208,1.63744705939442,-0.205392155903182,-0.205392155903182,-0.205392155903182,-0.114523942758302,-0.205392155903182,-0.205392155903182,-0.205392155903182
"ATP5MGL",-0.0986103029060446,-0.0986103029060446,-0.0986103029060446,0.02266862546452,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446
"DMAC2L",-0.163380859023971,-0.451021282985869,-0.451021282985869,-0.166318711305895,0.482389016807877,-0.0415185445632788,0.376330651110017,-0.182327581474325,-0.451021282985869
"ATP6V1B1",-0.275750847955054,-0.169399116033805,-0.0491918699228381,-0.275750847955054,-0.161961074737621,-0.275750847955054,-0.275750847955054,-0.101678296540901,-0.275750847955054
"ATXN3",-0.122016520101259,-0.499458790271771,-0.349972344569554,0.242124197329792,-0.499458790271771,-0.381626094773924,-0.08258382732226,0.162932615830025,0.402124247856679
"ATXN8OS",-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602
"AURKA",0.082481251167293,0.0471899703058682,-0.249682033159262,-0.249682033159262,-0.249682033159262,-0.201356474389613,-0.105467081436625,-0.153288822898769,-0.249682033159262
"AURKB",-0.178334957993789,-0.201970204617072,-0.312752528753599,0.0754186072898039,-0.312752528753599,-0.312752528753599,-0.251770183120203,-0.288174653185164,-0.312752528753599
"AVPR2",-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728,-0.0410936328938728
"AZU1",-0.0978818038197859,-0.0978818038197859,-0.0978818038197859,0.610244412811285,0.442559399831272,-0.0978818038197859,-0.0978818038197859,0.767148655267203,-0.0978818038197859
"B2M",-1.93276666001617,-1.88202942536219,-1.91418707339056,-1.76637205259221,-0.859283995161367,-1.4730289936177,-1.304664083691,-0.837845778131327,-0.874426610025166
"B3GNT2",0.0529351233853877,-0.437591273579056,-0.392047086043382,-0.44126140439844,-0.0757564893008194,0.0626881905107813,0.441509922697836,0.219679075040114,0.156775030850534
"B4GALT1-AS1",-0.0793211173392526,-0.0793211173392526,-0.0793211173392526,-0.0793211173392526,-0.0793211173392526,-0.0793211173392526,0.193673991200975,-0.0793211173392526,-0.0793211173392526
"BACE2",0.00964761499294006,-0.307987135698504,-0.307987135698504,-0.125479910409452,0.764632393688513,-0.251592478642278,0.707383361152576,0.289057544941375,0.166603167199654
"BACH2",-0.197828580693255,-0.197828580693255,-0.197828580693255,-0.197828580693255,-0.197828580693255,-0.197828580693255,0.414490228865985,-0.155880747403946,-0.197828580693255
"BAG3",-0.486906455312738,-0.486906455312738,-0.398100422384993,-0.0973897476173574,-0.252106185206589,-0.29358440987239,-0.389799736582151,0.150517506689396,-0.255638576024828
"BARX2",-0.0367487842131657,-0.0367487842131657,-0.0367487842131657,-0.0367487842131657,-0.0367487842131657,-0.0367487842131657,0.553648203093491,-0.0367487842131657,-0.0367487842131657
"BASP1",0.520933447090928,-0.352426076208153,0.141472985023453,-0.0684650712226328,-0.271533439468402,-0.468027360805112,0.0647731461621123,-0.0568361261230348,0.0717399696614864
"BATF",-0.130814773985427,-0.130814773985427,-0.130814773985427,-0.130814773985427,-0.130814773985427,-0.130814773985427,-0.130814773985427,-0.130814773985427,-0.130814773985427
"BATF3",-0.146903438774251,-0.146903438774251,-0.146903438774251,-0.146903438774251,-0.146903438774251,-0.0606876654926429,-0.146903438774251,-0.146903438774251,-0.146903438774251
"BBOX1",0.0421549229223605,-0.154121125683193,-0.154121125683193,-0.154121125683193,-0.154121125683193,-0.154121125683193,-0.154121125683193,-0.154121125683193,-0.154121125683193
"BCAN",-0.112709175037948,-0.112709175037948,-0.112709175037948,-0.112709175037948,-0.112709175037948,-0.112709175037948,-0.112709175037948,-0.112709175037948,-0.112709175037948
"BCL2A1",-0.277698311006719,-0.277698311006719,-0.277698311006719,-0.277698311006719,-0.277698311006719,-0.0903174630207546,-0.194012602424773,0.00477674029760691,-0.126908104616058
"BCL6",0.044873754784028,-0.233482706024122,-0.233482706024122,-0.233482706024122,-0.233482706024122,-0.16532120952018,-0.233482706024122,0.11779626612206,-0.0760738348661827
"BDKRB2",-0.0900286096710614,-0.0900286096710614,-0.0900286096710614,-0.0900286096710614,-0.0900286096710614,-0.0900286096710614,-0.0900286096710614,-0.0394827061952173,-0.0900286096710614
"BDNF",0.285800216326429,-0.2666132552569,-0.2666132552569,-0.2666132552569,-0.154397141658877,-0.140348696793646,-0.0312491703637681,-0.109985076544517,-0.2666132552569
"BEND3",-0.151831966525714,-0.151831966525714,1.1229208994955,0.224959510964205,-0.151831966525714,3.23211202231619,-0.116761860737846,-0.0711877622419124,-0.151831966525714
"BFSP1",0.187268393212805,-0.0707571405799438,-0.0707571405799438,-0.0707571405799438,-0.0707571405799438,-0.0707571405799438,-0.0707571405799438,0.432780716449053,-0.0707571405799438
"BGN",-0.494743117812102,-0.509649376586118,-0.542993782418826,-0.481528506642131,-0.352330606454221,-0.494250678447031,-0.514140567664933,-0.401369633858101,-0.483921628015127
"BHLHE41",-0.116339265159498,-0.160579372011555,-0.160579372011555,-0.160579372011555,-0.160579372011555,-0.160579372011555,-0.160579372011555,-0.160579372011555,-0.160579372011555
"BIN2",-0.0778339248705586,-0.218335443783177,-0.218335443783177,-0.218335443783177,-0.120776853026843,-0.162692963927506,-0.194105947407754,-0.172764899582436,-0.218335443783177
"BIRC3",-0.21725304369498,-0.21725304369498,-0.21725304369498,-0.21725304369498,-0.21725304369498,-0.050765097015645,-0.021847134223509,-0.145378665277415,0.029013168496658
"BIRC5",-0.0837790318547459,-0.260995885620589,-0.297019183156884,-0.0925486710875799,-0.213839976368948,-0.297019183156884,-0.297019183156884,-0.284039943630598,-0.297019183156884
"BLVRB",-0.475266676141321,-0.520825269409388,-0.523372893585558,-0.524864905388679,-0.379645488009104,-0.592436915145,-0.174027389440421,-0.357936122925518,0.0732701908968482
"BMP3",0.338730112981462,0.226484961965658,-0.195919931068745,-0.195919931068745,-0.195919931068745,-0.00541530433267005,0.00197958718678882,-0.04796467143361,-0.195919931068745
"BMP8A",-0.0464355638662393,-0.176440113460173,-0.176440113460173,-0.176440113460173,-0.176440113460173,-0.176440113460173,-0.132637366941446,0.0798492939232911,-0.176440113460173
