"","timepoints1","timepoints2","timepoints3","timepoints4","timepoints6","timepoints8","timepoints10","timepoints12","timepoints13","timepoints15"
"A2M",0.461095936455569,1.17427912517143,0.439056463456944,0.931055329844502,1.6354146735114,0.376544553314496,0.793995933156749,0.849920430771203,0.729359771286745,0.812037624678951
"AARD",-0.141941776241673,-0.141941776241673,-0.141941776241673,-0.0530170022859538,-0.141941776241673,-0.141941776241673,-0.141941776241673,1.31360479795507,-0.141941776241673,-0.0963960504068347
"AATBC",-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236,0.117332617994012,-0.0532319663689236,-0.0532319663689236,-0.0532319663689236
"ABCA4",-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,0.442926200189579,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699,-0.0600776840109699
"ABCB1",-0.0771140145135935,-0.0771140145135935,0.676762492344052,0.426741686212086,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935,-0.0771140145135935
"ABCC12",-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.00509522303561775,-0.143941175887982,-0.143941175887982,-0.143941175887982,-0.143941175887982,0.0055713025475382,-0.143941175887982
"ABCC13",-0.116747125484902,-0.116747125484902,-0.057070076319114,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,-0.116747125484902,0.084055144681441
"ABCC8",-0.267815155511825,-0.267815155511825,-0.210661042083407,-0.267815155511825,-0.267815155511825,-0.267815155511825,-0.267815155511825,-0.267815155511825,0.0162087507094831,0.545597736597744
"ABCD2",0.437250879280007,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502,-0.0735221782893502
"ABCG2",2.21595639309681,1.23410668517789,3.96760421313422,3.22838791936327,2.45225050757122,5.37445024208665,4.99072539053981,3.76858880800613,4.17422201069095,4.46160431738987
"ABHD17C",-0.263159174349314,-0.105326546575811,0.525107376669772,-0.0965894533310521,-0.263159174349314,-0.263159174349314,-0.263159174349314,-0.00823533539377811,0.199899217200385,-0.216678789129406
"ABHD6",0.557391995065029,-0.342687091564795,-0.241845854565183,0.423847990229548,1.25162545181934,0.664437392045178,-0.342687091564795,-0.342687091564795,0.952998106822695,0.612395967663158
"ABI3",1.63981088192507,0.361695016788852,1.08204044147209,1.76339554588629,0.640048617123883,0.588898787933694,0.700122304251871,-0.185926649620938,0.702040396534773,0.595754469444318
"ACKR1",-0.147281717520753,-0.147281717520753,-0.12470412924345,0.232953676255369,-0.147281717520753,0.169567233421363,-0.147281717520753,-0.147281717520753,-0.147281717520753,-0.0159064980652744
"ACOT7",0.138518016040028,-0.296763701310723,-0.55996393259198,-0.352679569677345,-0.616997647631911,-0.338657545170826,-0.54508006270573,-0.126942671751013,-0.3045707666416,-0.550990206112933
"ACP5",-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.0922863537972876,-0.1265889452272,0.365085600289935,-0.1265889452272,-0.1265889452272,-0.1265889452272,-0.1265889452272
"ACTA1",-0.108535845884236,-0.108535845884236,-0.0596529708784344,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,-0.108535845884236,0.0171902610234697,-0.108535845884236
"ACTG2",-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,-0.0604513063521137,3.29303246243192,-0.0604513063521137,-0.0604513063521137
"ACY3",-0.119102625376292,0.222198386271494,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.119102625376292,-0.0284277601001443,-0.119102625376292
"ADAM21",-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,-0.0403579803482727,0.628999218341612
"ADAMDEC1",-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639,-0.0702286917372639
"ADAMTS8",-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,-0.0712465355450198,0.0365742072987959,-0.0712465355450198
"ADAMTSL3",-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,-0.0790418377514435,0.592894284765319
"ADAMTSL5",-0.0562876225990222,-0.0562876225990222,0.717272963754749,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222,-0.0562876225990222
"ADAP2",-0.263265117600787,-0.263265117600787,-0.0389095971689051,-0.254185192252192,-0.263265117600787,-0.263265117600787,-0.232193100129581,-0.263265117600787,-0.168223617582394,-0.263265117600787
"ADGRE5",-0.33328960330188,0.497962835958021,0.133544093827233,0.0937944870038079,-0.0809237727198574,0.63211391876213,-0.33328960330188,0.123703441993583,0.29155495459458,0.31973193912725
"ADGRF3",0.0225661233654907,-0.10163007333484,0.675418393844763,-0.10163007333484,-0.10163007333484,1.16107368583201,-0.10163007333484,-0.10163007333484,-0.10163007333484,-0.10163007333484
"ADGRG6",1.43234119916354,1.9511812629802,1.85547277354695,0.972948888183778,0.256289918409161,-0.117757352714262,1.32763655481635,-0.117757352714262,-0.0411081083902153,0.00754184042950557
"ADGRL4",0.820453147300707,3.82050010487063,4.3309793299418,2.58226981973101,5.21447578840557,3.68752685139206,5.15617641929394,3.41077137266145,3.06074300811914,1.89415196708846
"ADH1A",-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,-0.0842821291417367,0.605511323197221,-0.0842821291417367,-0.0842821291417367,0.220616094391247,-0.0842821291417367
"ADIRF",-0.161101423940124,0.341342085433362,-0.161101423940124,1.23251545288228,-0.161101423940124,0.621093691271261,-0.161101423940124,1.73445617015384,0.273774098096836,0.276003839551374
"ADM",0.951027899698957,0.341831513911792,0.760801730132172,1.46608887359694,0.127343870302004,1.25321292037964,1.81270086368569,-0.514421982657764,1.49712077945541,0.866107617368629
"ADPRH",-0.143561520034798,0.219196839119927,-0.143561520034798,-0.118561268295254,-0.143561520034798,-0.143561520034798,-0.143561520034798,-0.143561520034798,0.0545653438466667,-0.143561520034798
"ADRA1B",-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,-0.0574686528184145,0.0684007569615484,-0.0574686528184145
"ADRA2C",-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734,-0.0769220865407734
"AGAP1-IT1",-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973,-0.0371361044838973
"AGR2",-0.59164761212028,-0.645119934299922,-0.513865076391259,-0.547771686888403,-0.579393263508245,-0.0919802768553049,-0.407507177071902,0.156016330467054,0.195397462110737,-0.16998381885467
"AGR3",-0.185310316553495,-0.176126547919199,-0.270746025731491,-0.34874109841708,-0.328743240365761,-0.102748873841478,-0.381279626064275,-0.381279626064275,-0.270315060569901,-0.221191883800623
"AGRP",-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209,-0.0690189534455209
"AGXT",-0.106069338851162,-0.187148885763461,-0.187148885763461,-0.187148885763461,-0.187148885763461,-0.187148885763461,-0.187148885763461,0.0743667399913678,-0.125592326370795,-0.187148885763461
"AHSP",-0.126433624257102,-0.365021583742738,-0.121482850670731,-0.0538643059841266,-0.2635399630689,-0.144366763780853,-0.18854949179953,-0.365021583742738,0.00504756901439145,0.203788787930857
"AIF1",-0.112211577756227,-0.37347858120849,-0.317044465605328,-0.338418148928302,-0.398073487934665,-0.35299200211663,-0.34066173111708,-0.416995239800332,-0.220981988572741,-0.336009211852169
"AIM2",-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.170052784744033,-0.0234523100577659
"AJAP1",-0.102382763325236,-0.102382763325236,0.0812416470205002,-0.102382763325236,-0.102382763325236,-0.102382763325236,-0.102382763325236,-0.102382763325236,-0.102382763325236,-0.102382763325236
"AKAP12",1.90210128488418,1.01858655766951,1.77687555255962,1.65187534652433,0.459739725283676,1.11814924046806,-0.0119796715659907,0.789211793346935,0.160503557446015,0.503593805844864
"AKR1B15",-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878,-0.0261941128547878
"AKR1C6P",-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601,-0.0308250166450601
"ALAS2",-0.24094815589322,-0.28680029638992,-0.137305129624132,-0.167828852748557,-0.206486803394508,-0.157704533980698,-0.118190334853699,-0.268667031831466,-0.0768592589704084,-0.147805903791061
"ALDH1A1",-0.537159815655428,-0.39841675190299,-0.577933202972559,-0.652995848125892,-0.397675939944653,-0.350206834835945,-0.65732382964948,0.0488359038341118,-0.193561919678203,-0.316878871160521
"ALDH1A2",-0.341742600601014,-0.385172455882688,-0.371546412400986,-0.271760207771396,-0.18411752918327,-0.357930210233406,-0.442957351354411,-0.442957351354411,0.181520275184037,-0.18174334137616
"ALDH3A1",-0.0646270810307278,-0.0646270810307278,0.709575002125482,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278,-0.0646270810307278
"ALOX12B",-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684,-0.0629718393706684
"ALOX15",-0.111859134885327,0.130894590178491,-0.21293640860241,-0.174037915773554,-0.21293640860241,-0.21293640860241,-0.21293640860241,0.294198321573084,-0.129921985661189,-0.21293640860241
"ALOX5AP",-0.0987404880168976,-0.246982322893558,-0.246982322893558,-0.235893302990437,-0.246982322893558,-0.215295511700326,-0.246982322893558,-0.246982322893558,-0.226299302530321,-0.00344283410641172
"ALPK1",-0.19041940694335,-0.19041940694335,0.810079574523864,0.0479710942025567,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,-0.19041940694335,0.513441680340173
"FLACC1",-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.137599381632742,-0.0948602653740478,-0.137599381632742
"JAML",-0.281071845541082,-0.281071845541082,-0.241641623890301,-0.281071845541082,-0.281071845541082,-0.281071845541082,-0.281071845541082,-0.0770553053000756,-0.271596592919479,0.166163605792612
"AMPD1",-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478,-0.0461920447132478
"ANGPT1",-0.564348638983292,-0.486865527612978,-0.410666156566856,-0.248269813760694,-0.563774443263525,-0.264273744464991,-0.299348692877309,-0.557679276436463,-0.521966239537577,-0.502095355991618
"ANGPT2",-0.273620745333469,-0.117090665687822,-0.0611894944265175,0.12530457049319,-0.304393881333113,0.38097789906278,0.739684888015845,-0.304393881333113,-0.134669223689857,-0.205344740493131
"ANGPTL1",-0.289425716969793,-0.289425716969793,-0.253933546307056,-0.228391802364236,-0.289425716969793,-0.217355476335015,-0.289425716969793,-0.289425716969793,-0.134690028584854,-0.289425716969793
"ANGPTL4",-0.268746396977308,-0.268746396977308,0.071165046235678,1.11419358543859,-0.268746396977308,-0.268746396977308,0.970548662852916,-0.268746396977308,-0.155107039473219,0.266322033077463
"ANK1",-0.16931670404394,-0.16931670404394,-0.119715898262695,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.16931670404394,-0.101910980694232
"ANKRD1",-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664,-0.0610789538304664
"ANKRD19P",-0.103046539314805,0.507462304760298,0.0534572242729451,-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.146942070831422,-0.0496315430540397,-0.146942070831422,-0.146942070831422
"ANKRD34C",-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247,-0.0630132532534247
"ANKRD50",1.02836945439674,0.0597445740637943,0.781807514323104,-0.0858389538523576,0.868749228164186,-0.308132036220016,-0.197304694344746,-0.455052383552795,0.121080928964668,0.100818978835364
"ANKRD9",-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,-0.132870054672532,0.142558805273689,-0.132870054672532
"ANKS4B",-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918,-0.0450935973180918
"ANLN",1.18969774576252,-0.130380392259077,-0.17251751841215,0.79639070259454,-0.237602534045907,-0.237602534045907,-0.237602534045907,-0.237602534045907,-0.237602534045907,-0.138254158917783
"ANXA1",0.339115233771937,-0.00710276890663362,0.0360441871985624,0.335964852150745,-0.282570086490511,-0.392911734946304,-0.0979884729907337,-0.016930209847544,-0.146298823475737,-0.188075819917505
"ANXA2",2.32369387573255,3.11134926121118,1.09641015481085,2.26355810640098,0.874427621274747,0.62572933838793,1.93889149849486,1.19365952374367,0.402884149117182,1.24909387039744
"ANXA2R",2.14532740056466,-0.125853363643615,0.716417445178573,2.17087636418339,1.3206971168769,1.13987830681184,1.23662360795843,-0.125853363643615,0.959059496746772,0.988445910011748
"ANXA3",0.517417572167701,1.21834375707339,-0.0664619348850855,0.428843021899459,-0.185900876535334,-0.242209188504042,-0.284805712766358,-0.284805712766358,-0.137194622795627,-0.284805712766358
"APBB1IP",-0.226054389316592,-0.226054389316592,-0.202703548939651,-0.226054389316592,-0.160571425472517,-0.173852284537408,-0.226054389316592,-0.226054389316592,-0.226054389316592,-0.0838453427924695
"APBB2",-0.463391271563075,0.915436824692086,0.400039217791048,0.149883415909006,0.549171256565481,1.08525903514021,1.12209315793917,0.246402037200531,0.180619534094773,0.123719046510901
"APCDD1L-DT",0.0451069557372684,-0.0978040952256822,0.816295673977472,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822,-0.0978040952256822
"APLNR",6.42075798337929,3.32734207400767,3.4292967178952,5.99466918904167,5.62152528849561,5.75107840046613,6.00533081764068,3.38837706153973,2.81148788911899,1.36386316921585
"APOA2",-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,0.066402982056055,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795,-0.0319487427173795
"APOBEC3A",-0.0491819464023409,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.11218907269889,-0.0556908731513987,0.078202017410533
"APOBEC3D",-0.115605709016721,-0.115605709016721,-0.115605709016721,0.214785248824423,-0.115605709016721,0.541604720915143,0.640240816234347,0.714064972942765,0.204002258898504,-0.115605709016721
"APOBR",-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.143757095179466,-0.0514537247929781,-0.164579104636091,-0.164579104636091,-0.164579104636091,-0.129376945562813,-0.0243441388875616
"APOC1",-0.278850825753798,1.19647594932208,0.146330727625353,-0.191363322993341,-0.316301730679347,-0.0161408576809849,-0.162264815784291,-0.316301730679347,-0.215395888980429,-0.21535366992512
"APOD",-0.472148168595584,-0.472148168595584,-0.396753472692715,-0.162299413008131,-0.404268826463707,-0.297542905202896,-0.29004650848167,-0.472148168595584,0.0574449857701788,-0.309315078772084
"APOE",-0.307048520262674,-0.307048520262674,-0.307048520262674,-0.269847391950546,-0.307048520262674,0.0106772636616942,0.0546979519634555,-0.307048520262674,-0.230041666094695,-0.307048520262674
"APOLD1",4.06813198717491,2.04003600918302,2.98516585716892,3.94581813364031,0.657276944816361,3.00288395892631,1.52548453566452,0.483737479488971,1.91119467898816,2.30174654367279
"AQP1",0.365867122053515,-0.106684788860242,-0.106684788860242,0.326902150111903,-0.106684788860242,-0.106684788860242,-0.106684788860242,-0.106684788860242,-0.0580762730130572,0.488384339066274
"AQP4",-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496,-0.102596097870496,0.258210905624879,-0.102596097870496
"ARFIP2",-0.275876533231511,-0.0418563774440422,-0.385567569414281,-0.212085614584955,-0.252776508904987,-0.241032904906602,0.380296807570369,0.0925437474041127,-0.404749948349809,-0.245421891773263
"ARG2",-0.301913448826569,-0.621201744075318,-0.465294212811283,-0.556076730318578,-0.621201744075318,-0.553965220633706,-0.535028377786756,-0.340792065577487,-0.346487969742684,-0.334881437301685
"ARHGAP11A",-0.227742120175509,-0.227742120175509,-0.183654907420989,-0.0237027183253733,-0.101158861550815,-0.0779466871746316,-0.227742120175509,-0.227742120175509,-0.192569639879374,0.289724468941902
"ARHGAP11B",-0.104643324945844,-0.104643324945844,-0.104643324945844,0.11145375470826,-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844,-0.104643324945844
"ARHGAP15",-0.186759471747397,-0.186759471747397,-0.154734428605185,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.186759471747397,-0.163557117246482,-0.142874265527222
"ARHGAP18",2.18818162399639,0.644054250573574,2.19544399054566,1.50549360959229,1.10376442287203,1.361770163414,1.7132726418041,1.67386533831917,1.42903042659074,0.978333097689506
"ARHGAP19",-0.0517954489790957,-0.0597150978866177,-0.063104159805748,-0.0949572355930159,1.0029794093842,-0.146511941319048,-0.213413010383202,-0.213413010383202,0.465092533066844,-0.213413010383202
"ARHGAP26-AS1",-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269,-0.0297057098501269
"ARHGAP36",-0.442331036456325,-0.461301168539751,-0.564831123706191,-0.634784514372823,-0.605481545004404,-0.636780988022952,-0.463682824120704,-0.515509804826561,-0.464187581344153,-0.524790205657884
"ARHGAP6",0.570616952306537,0.492075083977154,0.097483033344806,-0.0913215225625836,-0.29151246157304,0.528029528305899,-0.241564297061344,-0.29151246157304,0.281768866203085,-0.128086440066506
"ARHGDIB",0.452357601476547,0.790583934779817,0.586026935918266,0.664335168115854,0.465338098976817,1.00719128935531,0.847693403321437,-0.215681617529181,0.724745113717068,0.495731319148504
"ARHGEF15",2.16601502962689,0.164189444031419,3.14202967555857,3.2490806602955,1.93724179910002,1.05239047512242,1.38212979385824,-0.105636744992635,1.71405294633501,1.88892882632294
"ARID3A",0.328402225845258,-0.304041407769999,-0.132580271586796,-0.304041407769999,-0.304041407769999,-0.304041407769999,-0.304041407769999,-0.266132822813201,-0.153996513045811,-0.304041407769999
"ARL4C",-0.28129375897188,-0.3629870671463,-0.338009750990161,-0.348415576017004,-0.3629870671463,-0.239567354611365,-0.3629870671463,-0.3629870671463,-0.0287138582795638,-0.218452253886407
"ARL6IP1",0.0593208058805176,-0.079405571102565,0.0759533392689155,0.403001919660032,-0.249517017502442,-0.39799471325067,-0.487560750658289,-0.0407159436390527,-0.439050849606951,-0.645634206311311
"ARPC1B",1.5699463370074,0.777870358076095,0.306216670587292,0.833558967863225,0.422511886174058,-0.113839021891527,-0.187655981382274,-0.402920043893922,-0.217172062017439,0.175606089521518
"ARPP21",-0.18601348959295,-0.18601348959295,-0.18601348959295,-0.0478888049381562,-0.18601348959295,-0.0702262088274609,-0.18601348959295,-0.114101914817951,-0.167954801349587,-0.18601348959295
"ART3",-0.170168787819178,-0.170168787819178,-0.0221482913178803,0.0734497708097735,-0.170168787819178,-0.0417452082920545,0.64326350353677,-0.170168787819178,0.152656471960064,0.11753849007099
"ARX",-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839,-0.0503114869579839
"ASB2",-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763,1.63548321278222,-0.0923075685616763,-0.0923075685616763,-0.0923075685616763
"ASB4",-0.281959162622494,-0.281959162622494,-0.108064980506496,-0.24599160055067,-0.281959162622494,0.0516709302697789,-0.0521537204950604,0.231320885060603,0.0565338099339606,-0.281959162622494
"ASCL1",-0.305179457783628,-0.207218745643416,0.107737373016964,-0.397643611547588,-0.443247560156183,-0.443247560156183,-0.402213393542126,-0.421173181670097,-0.244815255697851,-0.408451874260818
"ASCL4",-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715,-0.0273213186380715
"ASF1B",0.611887449687017,0.430015397323198,-0.259667872887603,0.207083427895243,-0.0771586448196405,-0.199683813887074,-0.0650515655633408,-0.28251044993159,-0.28251044993159,-0.28251044993159
"ASGR2",-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035,-0.0963472837277035
"ASPM",0.587030917147554,-0.160200986966046,-0.238812486777428,0.124870891144625,-0.238812486777428,-0.238812486777428,-0.10029285560325,-0.238812486777428,-0.191983384901789,-0.197671494966724
"ASPN",-0.271901763184629,-0.24314758181449,-0.303004235794145,0.0337901272080751,-0.303004235794145,-0.303004235794145,-0.303004235794145,-0.303004235794145,-0.274197463466065,-0.24175301240275
"ATAD2",0.728962607265036,0.583798924189767,-0.150771027290607,0.0920111899063738,-0.403247255031142,-0.262738236977178,0.326343746033855,-0.0353484251613117,-0.357299947877782,-0.361876407959943
"ATAD5",0.980885609640475,-0.251522127329058,-0.155440126297899,0.113477800729921,-0.327997701084823,-0.110283602858511,-0.327997701084823,-0.327997701084823,-0.112012641054665,-0.327997701084823
"ATF3",-0.614829307459889,-0.264235242858799,-0.675185270902942,0.113152946643684,-0.120737068113111,-0.570140987167981,0.635087304995386,0.151211950068928,0.812134967092613,0.260007525325152
"ATOH7",0.458578082164416,-0.205392155903182,-0.205392155903182,-0.0904639380764927,-0.205392155903182,-0.205392155903182,-0.121592369072736,-0.205392155903182,-0.205392155903182,-0.205392155903182
"ATP5MGL",-0.0986103029060446,-0.0986103029060446,0.447441266666116,-0.0986103029060446,0.193121219424339,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446,-0.0986103029060446
"DMAC2L",0.42116385375867,1.77952035803731,-0.113727336637653,-0.159003324053079,0.155386658429764,-0.411460502189768,-0.38585112739603,-0.349546792324034,-0.120807530892571,0.127578430773549
"ATP6V1B1",-0.275750847955054,-0.275750847955054,-0.204588958685782,-0.184505170146299,-0.275750847955054,-0.275750847955054,-0.275750847955054,-0.275750847955054,-0.22245999340245,-0.223457866561005
"ATXN3",0.161903786450544,-0.499458790271771,0.364076497695726,0.0154970365734329,0.157473205667064,0.037871865548925,0.106532293911054,-0.143686086493161,0.438833419437808,0.410672297652507
"ATXN8OS",-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,0.121938085450819,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602,-0.0378919050008602
