"UNIPROT","SYMBOL","ENSEMBL","ENTREZID","GENETYPE"
"P09912","IFI6","ENSG00000126709","2537","protein-coding"
"Q969F2","NKD2","ENSG00000145506","85409","protein-coding"
"Q969F2","NKD2","ENSG00000276920","85409","protein-coding"
"P16104","H2AX","ENSG00000188486","3014","protein-coding"
"Q69YU3","ANKRD34A","ENSG00000272031","284615","protein-coding"
"Q15109","AGER","ENSG00000204305","177","protein-coding"
"Q15109","AGER","ENSG00000230514","177","protein-coding"
"Q15109","AGER","ENSG00000231268","177","protein-coding"
"Q15109","AGER","ENSG00000229058","177","protein-coding"
"Q15109","AGER","ENSG00000237405","177","protein-coding"
"Q15109","AGER","ENSG00000206320","177","protein-coding"
"Q15109","AGER","ENSG00000234729","177","protein-coding"
"Q9UQC9","CLCA2","ENSG00000137975","9635","protein-coding"
"P26378","ELAVL4","ENSG00000162374","1996","protein-coding"
"Q9BXP8","PAPPA2","ENSG00000116183","60676","protein-coding"
"Q2M1Z3","ARHGAP31","ENSG00000031081","57514","protein-coding"
"Q8WYP5","AHCTF1","ENSG00000153207","25909","protein-coding"
"Q5VT25","CDC42BPA","ENSG00000143776","8476","protein-coding"
"Q99676","ZNF184","ENSG00000096654","7738","protein-coding"
"Q96N38","ZNF714","ENSG00000160352","148206","protein-coding"
"Q8N3Z6","ZCCHC7","ENSG00000147905","84186","protein-coding"
"Q15735","INPP5J","ENSG00000185133","27124","protein-coding"
"P35080","PFN2","ENSG00000070087","5217","protein-coding"
"P33176","KIF5B","ENSG00000170759","3799","protein-coding"
"Q14185","DOCK1","ENSG00000150760","1793","protein-coding"
"Q5T6F0","DCAF12","ENSG00000198876","25853","protein-coding"
"Q8NDV3","SMC1B","ENSG00000077935","27127","protein-coding"
"P26436","ACRV1","ENSG00000134940","56","protein-coding"
"Q9BXP2","SLC12A9","ENSG00000146828","56996","protein-coding"
"O95793","STAU1","ENSG00000124214","6780","protein-coding"
"Q8NHV4","NEDD1","ENSG00000139350","121441","protein-coding"
"Q8TCU6","PREX1","ENSG00000124126","57580","protein-coding"
"Q8NHZ8","CDC26","ENSG00000176386","246184","protein-coding"
"Q6ZS27","ZNF662","ENSG00000182983","389114","protein-coding"
"P39019","RPS19","ENSG00000105372","6223","protein-coding"
"Q9P2G9","KLHL8","ENSG00000145332","57563","protein-coding"
"P20839","IMPDH1","ENSG00000106348","3614","protein-coding"
"P35590","TIE1","ENSG00000066056","7075","protein-coding"
"Q6RFH5","WDR74","ENSG00000133316","54663","protein-coding"
"Q9H6Y5","MAGIX","ENSG00000269313","79917","protein-coding"
"P15976","GATA1","ENSG00000102145","2623","protein-coding"
"Q9HCD6","TANC2","ENSG00000170921","26115","protein-coding"
"O75175","CNOT3","ENSG00000088038","4849","protein-coding"
"O75175","CNOT3","ENSG00000276082","4849","protein-coding"
"O75175","CNOT3","ENSG00000273943","4849","protein-coding"
"O75175","CNOT3","ENSG00000275979","4849","protein-coding"
"O75175","CNOT3","ENSG00000274941","4849","protein-coding"
"O75175","CNOT3","ENSG00000277114","4849","protein-coding"
"O75175","CNOT3","ENSG00000274176","4849","protein-coding"
"O75175","CNOT3","ENSG00000277615","4849","protein-coding"
"O75175","CNOT3","ENSG00000274616","4849","protein-coding"
"O75175","CNOT3","ENSG00000277600","4849","protein-coding"
"Q03989","ARID5A","ENSG00000196843","10865","protein-coding"
"A6NJZ7","RIMBP3C","ENSG00000183246","150221","protein-coding"
"O60762","DPM1","ENSG00000000419","8813","protein-coding"
"Q8WXF0","SRSF12","ENSG00000154548","135295","protein-coding"
"P17025","ZNF182","ENSG00000147118","7569","protein-coding"
"Q9P2Y5","UVRAG","ENSG00000198382","7405","protein-coding"
"Q8NCD3","HJURP","ENSG00000123485","55355","protein-coding"
"P17038","ZNF43","ENSG00000198521","7594","protein-coding"
"P17038","ZNF43","ENSG00000279566","7594","protein-coding"
"Q7L8J4","SH3BP5L","ENSG00000175137","80851","protein-coding"
"Q15393","SF3B3","ENSG00000189091","23450","protein-coding"
"Q02539","H1-1","ENSG00000124610","3024","protein-coding"
"Q8IZQ1","WDFY3","ENSG00000163625","23001","protein-coding"
"Q86YQ8","CPNE8","ENSG00000139117","144402","protein-coding"
"Q16820","MEP1B","ENSG00000141434","4225","protein-coding"
"Q96CU9","FOXRED1","ENSG00000110074","55572","protein-coding"
"Q9Y5F9","PCDHGB6","ENSG00000253305","56100","protein-coding"
"Q9Y5G1","PCDHGB3","ENSG00000262209","56102","protein-coding"
"Q14563","SEMA3A","ENSG00000075213","10371","protein-coding"
"Q5SZD1","C6orf141","ENSG00000197261","135398","protein-coding"
"Q99470","SDF2","ENSG00000132581","6388","protein-coding"
"Q99742","NPAS1","ENSG00000130751","4861","protein-coding"
"A6NNM3","RIMBP3B","ENSG00000274600","440804","protein-coding"
"Q9UDR5","AASS","ENSG00000008311","10157","protein-coding"
"O76094","SRP72","ENSG00000174780","6731","protein-coding"
"Q8WZ74","CTTNBP2","ENSG00000077063","83992","protein-coding"
"Q8TBC3","SHKBP1","ENSG00000160410","92799","protein-coding"
"Q99767","APBA2","ENSG00000034053","321","protein-coding"
"Q99767","APBA2","ENSG00000276495","321","protein-coding"
"P52943","CRIP2","ENSG00000182809","1397","protein-coding"
"Q75WM6","H1-7","ENSG00000187166","341567","protein-coding"
"Q99708","RBBP8","ENSG00000101773","5932","protein-coding"
"Q14CN4","KRT72","ENSG00000170486","140807","protein-coding"
"Q9Y2K3","MYH15","ENSG00000144821","22989","protein-coding"
"Q6IS24","GALNT17","ENSG00000185274","64409","protein-coding"
"Q99613","EIF3C","ENSG00000184110","8663","protein-coding"
"Q9HCJ3","RAVER2","ENSG00000162437","55225","protein-coding"
"Q12864","CDH17","ENSG00000079112","1015","protein-coding"
"B5ME19","EIF3CL","ENSG00000205609","728689","protein-coding"
"Q6ZRK6","CCDC73","ENSG00000186714","493860","protein-coding"
"Q93086","P2RX5","ENSG00000083454","5026","protein-coding"
"Q9Y5G8","PCDHGA5","ENSG00000253485","56110","protein-coding"
"Q9BVN2","RUSC1","ENSG00000160753","23623","protein-coding"
"P11310","ACADM","ENSG00000117054","34","protein-coding"
"Q5T8P6","RBM26","ENSG00000139746","64062","protein-coding"
"Q5SW24","DACT2","ENSG00000164488","168002","protein-coding"
"Q8IYA6","CKAP2L","ENSG00000169607","150468","protein-coding"
"O00327","ARNTL","ENSG00000133794","406","protein-coding"
"O60279","SUSD5","ENSG00000173705","26032","protein-coding"
"P16870","CPE","ENSG00000109472","1363","protein-coding"
"Q9Y485","DMXL1","ENSG00000172869","1657","protein-coding"
"O15550","KDM6A","ENSG00000147050","7403","protein-coding"
"Q9ULD4","BRPF3","ENSG00000096070","27154","protein-coding"
"Q9GZR2","REXO4","ENSG00000148300","57109","protein-coding"
"Q9GZR2","REXO4","ENSG00000280706","57109","protein-coding"
"P18124","RPL7","ENSG00000147604","6129","protein-coding"
"Q9Y4C1","KDM3A","ENSG00000115548","55818","protein-coding"
"Q9Y5G2","PCDHGB2","ENSG00000253910","56103","protein-coding"
"Q92824","PCSK5","ENSG00000099139","5125","protein-coding"
"P46108","CRK","ENSG00000167193","1398","protein-coding"
"Q9NRA8","EIF4ENIF1","ENSG00000184708","56478","protein-coding"
"Q9UBR2","CTSZ","ENSG00000101160","1522","protein-coding"
"Q04864","REL","ENSG00000162924","5966","protein-coding"
"Q69YN4","VIRMA","ENSG00000164944","25962","protein-coding"
"Q02641","CACNB1","ENSG00000067191","782","protein-coding"
"Q6NSZ9","ZSCAN25","ENSG00000197037","221785","protein-coding"
"Q3ZCT1","ZNF260","ENSG00000254004","339324","protein-coding"
"Q9BZC7","ABCA2","ENSG00000107331","20","protein-coding"
"Q2VY69","ZNF284","ENSG00000186026","342909","protein-coding"
"P83859","QRFP","ENSG00000188710","347148","protein-coding"
"P57071","PRDM15","ENSG00000141956","63977","protein-coding"
"Q8NBF2","NHLRC2","ENSG00000196865","374354","protein-coding"
"P0CG20","PRR35","ENSG00000161992","146325","protein-coding"
"O60765","ZNF354A","ENSG00000169131","6940","protein-coding"
"Q92913","FGF13","ENSG00000129682","2258","protein-coding"
"Q6ZR52","ZNF493","ENSG00000196268","284443","protein-coding"
"O43818","RRP9","ENSG00000114767","9136","protein-coding"
"O75582","RPS6KA5","ENSG00000100784","9252","protein-coding"
"Q92766","RREB1","ENSG00000124782","6239","protein-coding"
"Q9Y2T1","AXIN2","ENSG00000168646","8313","protein-coding"
"Q8N6H7","ARFGAP2","ENSG00000149182","84364","protein-coding"
"Q9Y4X5","ARIH1","ENSG00000166233","25820","protein-coding"
"P35573","AGL","ENSG00000162688","178","protein-coding"
"Q9Y4L1","HYOU1","ENSG00000149428","10525","protein-coding"
"Q9Y4L1","HYOU1","ENSG00000280682","10525","protein-coding"
"Q13228","SELENBP1","ENSG00000143416","8991","protein-coding"
"Q6NZY4","ZCCHC8","ENSG00000033030","55596","protein-coding"
"Q14C87","TMEM132D","ENSG00000151952","121256","protein-coding"
"P23378","GLDC","ENSG00000178445","2731","protein-coding"
"O14594","NCAN","ENSG00000130287","1463","protein-coding"
"P46939","UTRN","ENSG00000152818","7402","protein-coding"
"O94832","MYO1D","ENSG00000176658","4642","protein-coding"
"Q9ULB4","CDH9","ENSG00000113100","1007","protein-coding"
"Q8N5P1","ZC3H8","ENSG00000144161","84524","protein-coding"
"P55268","LAMB2","ENSG00000172037","3913","protein-coding"
"Q5MCW4","ZNF569","ENSG00000196437","148266","protein-coding"
"Q6NT04","TIGD7","ENSG00000140993","91151","protein-coding"
"Q01970","PLCB3","ENSG00000149782","5331","protein-coding"
"P17097","ZNF7","ENSG00000147789","7553","protein-coding"
"P01133","EGF","ENSG00000138798","1950","protein-coding"
"Q96PK6","RBM14","ENSG00000239306","10432","protein-coding"
"Q96PK6","RBM14-RBM4","ENSG00000248643","100526737","protein-coding"
"Q8NBJ7","SUMF2","ENSG00000129103","25870","protein-coding"
"P00488","F13A1","ENSG00000124491","2162","protein-coding"
"Q86Z14","KLB","ENSG00000134962","152831","protein-coding"
"Q9H6A9","PCNX3","ENSG00000197136","399909","protein-coding"
"Q9Y5R2","MMP24","ENSG00000125966","10893","protein-coding"
"P05091","ALDH2","ENSG00000111275","217","protein-coding"
"O43815","STRN","ENSG00000115808","6801","protein-coding"
"Q9H7R0","ZNF442","ENSG00000198342","79973","protein-coding"
"P62191","PSMC1","ENSG00000100764","5700","protein-coding"
"O60930","RNASEH1","ENSG00000171865","246243","protein-coding"
"P05107","ITGB2","ENSG00000160255","3689","protein-coding"
"Q9Y6X6","MYO16","ENSG00000041515","23026","protein-coding"
"Q9ULR3","PPM1H","ENSG00000111110","57460","protein-coding"
"P51504","ZNF80","ENSG00000174255","7634","protein-coding"
"Q13422","IKZF1","ENSG00000185811","10320","protein-coding"
"P78527","PRKDC","ENSG00000253729","5591","protein-coding"
"Q13563","PKD2","ENSG00000118762","5311","protein-coding"
"Q9ULX5","RNF112","ENSG00000128482","7732","protein-coding"
"Q9NW82","WDR70","ENSG00000082068","55100","protein-coding"
"Q9H0K6","PUS7L","ENSG00000129317","83448","protein-coding"
"P06213","INSR","ENSG00000171105","3643","protein-coding"
"Q02241","KIF23","ENSG00000137807","9493","protein-coding"
"Q99698","LYST","ENSG00000143669","1130","protein-coding"
"Q9H2G2","SLK","ENSG00000065613","9748","protein-coding"
"Q9Y608","LRRFIP2","ENSG00000093167","9209","protein-coding"
"Q6PII3","CCDC174","ENSG00000154781","51244","protein-coding"
"P13671","C6","ENSG00000039537","729","protein-coding"
"Q8N157","AHI1","ENSG00000135541","54806","protein-coding"
"O94923","GLCE","ENSG00000138604","26035","protein-coding"
"Q7L273","KCTD9","ENSG00000104756","54793","protein-coding"
"Q9BRZ2","TRIM56","ENSG00000169871","81844","protein-coding"
"Q70Z35","PREX2","ENSG00000046889","80243","protein-coding"
"O43639","NCK2","ENSG00000071051","8440","protein-coding"
"P06748","NPM1","ENSG00000181163","4869","protein-coding"
"P14780","MMP9","ENSG00000100985","4318","protein-coding"
"Q93074","MED12","ENSG00000184634","9968","protein-coding"
"P06276","BCHE","ENSG00000114200","590","protein-coding"
"O94779","CNTN5","ENSG00000149972","53942","protein-coding"
"Q9Y462","ZNF711","ENSG00000147180","7552","protein-coding"
"Q9H093","NUAK2","ENSG00000163545","81788","protein-coding"
"P22090","RPS4Y1","ENSG00000129824","6192","protein-coding"
"Q9BW19","KIFC1","ENSG00000237649","3833","protein-coding"
"Q9BW19","KIFC1","ENSG00000233450","3833","protein-coding"
"Q9BW19","KIFC1","ENSG00000056678","3833","protein-coding"
"Q9BW19","KIFC1","ENSG00000204197","3833","protein-coding"
"Q49MG5","MAP9","ENSG00000164114","79884","protein-coding"
"Q8IXZ2","ZC3H3","ENSG00000014164","23144","protein-coding"
"Q8IXZ2","ZC3H3","ENSG00000282684","23144","protein-coding"
"Q8TEU7","RAPGEF6","ENSG00000158987","51735","protein-coding"
"Q9ULG6","CCPG1","ENSG00000260916","9236","protein-coding"
"Q92890","UFD1","ENSG00000070010","7353","protein-coding"
"O75154","RAB11FIP3","ENSG00000090565","9727","protein-coding"
"O75154","RAB11FIP3","ENSG00000275338","9727","protein-coding"
"Q5HYC2","KIAA2026","ENSG00000183354","158358","protein-coding"
"Q03924","ZNF117","ENSG00000152926","51351","protein-coding"
"Q03924","ERV3-1-ZNF117","ENSG00000152926","109504726","protein-coding"
"Q9C0D7","ZC3H12C","ENSG00000149289","85463","protein-coding"
"Q01668","CACNA1D","ENSG00000157388","776","protein-coding"
"P46781","RPS9","ENSG00000170889","6203","protein-coding"
"P46781","RPS9","ENSG00000274646","6203","protein-coding"
"P46781","RPS9","ENSG00000275323","6203","protein-coding"
"P46781","RPS9","ENSG00000278081","6203","protein-coding"
"P46781","RPS9","ENSG00000274005","6203","protein-coding"
"P46781","RPS9","ENSG00000278270","6203","protein-coding"
"P46781","RPS9","ENSG00000277359","6203","protein-coding"
"P46781","RPS9","ENSG00000274626","6203","protein-coding"
"P46781","RPS9","ENSG00000277079","6203","protein-coding"
"P46781","RPS9","ENSG00000274950","6203","protein-coding"
"O95613","PCNT","ENSG00000160299","5116","protein-coding"
"Q9NZ81","PRR13","ENSG00000205352","54458","protein-coding"
"Q2V2M9","FHOD3","ENSG00000134775","80206","protein-coding"
"P19823","ITIH2","ENSG00000151655","3698","protein-coding"
"Q9NZ71","RTEL1","ENSG00000258366","51750","protein-coding"
"Q8N5D0","WDTC1","ENSG00000142784","23038","protein-coding"
"Q92560","BAP1","ENSG00000163930","8314","protein-coding"
"Q96SI9","STRBP","ENSG00000165209","55342","protein-coding"
"Q9BYV8","CEP41","ENSG00000106477","95681","protein-coding"
"Q9Y446","PKP3","ENSG00000184363","11187","protein-coding"
"Q9Y5G0","PCDHGB5","ENSG00000276547","56101","protein-coding"
"Q6AZW8","ZNF660","ENSG00000144792","285349","protein-coding"
"Q6AZW8","ZNF660","ENSG00000280661","285349","protein-coding"
"Q12872","SFSWAP","ENSG00000061936","6433","protein-coding"
"Q9P270","SLAIN2","ENSG00000109171","57606","protein-coding"
"Q13621","SLC12A1","ENSG00000074803","6557","protein-coding"
"Q9UKN1","MUC12","ENSG00000205277","10071","protein-coding"
"O95965","ITGBL1","ENSG00000198542","9358","protein-coding"
"Q6VY07","PACS1","ENSG00000175115","55690","protein-coding"
"Q96CK0","ZNF653","ENSG00000161914","115950","protein-coding"
"Q5T0Z8","C6orf132","ENSG00000188112","647024","protein-coding"
"Q4VC44","FLYWCH1","ENSG00000059122","84256","protein-coding"
"P0DJI8","SAA1","ENSG00000173432","6288","protein-coding"
"P0DJI8","SAA1","ENSG00000288411","6288","protein-coding"
"Q8N350","CBARP","ENSG00000099625","255057","protein-coding"
"Q9UPR5","SLC8A2","ENSG00000118160","6543","protein-coding"
"Q9BTE6","AARSD1","ENSG00000266967","80755","protein-coding"
"Q9BTE6","PTGES3L-AARSD1","ENSG00000108825","100885850","protein-coding"
"Q9ULJ6","ZMIZ1","ENSG00000108175","57178","protein-coding"
"O15031","PLXNB2","ENSG00000196576","23654","protein-coding"
"P01024","C3","ENSG00000125730","718","protein-coding"
"Q9H171","ZBP1","ENSG00000124256","81030","protein-coding"
"Q9BUP3","HTATIP2","ENSG00000109854","10553","protein-coding"
"Q9NQW5","PRDM7","ENSG00000126856","11105","protein-coding"
"Q9BYP8","KRTAP17-1","ENSG00000186860","83902","protein-coding"
"Q9BYP8","KRTAP17-1","ENSG00000263341","83902","protein-coding"
"Q86UU1","PHLDB1","ENSG00000019144","23187","protein-coding"
"Q8N9C0","IGSF22","ENSG00000179057","283284","protein-coding"
"O75122","CLASP2","ENSG00000163539","23122","protein-coding"
"Q9P2J8","ZNF624","ENSG00000197566","57547","protein-coding"
"Q9NRD8","DUOX2","ENSG00000140279","50506","protein-coding"
"Q71SY5","MED25","ENSG00000104973","81857","protein-coding"
"Q9NXG0","CNTLN","ENSG00000044459","54875","protein-coding"
"P02679","FGG","ENSG00000171557","2266","protein-coding"
"O14976","GAK","ENSG00000178950","2580","protein-coding"
"Q96S94","CCNL2","ENSG00000221978","81669","protein-coding"
"P57105","SYNJ2BP","ENSG00000213463","55333","protein-coding"
"Q9Y5F8","PCDHGB7","ENSG00000254122","56099","protein-coding"
"Q6F5E8","CARMIL2","ENSG00000159753","146206","protein-coding"
"Q9UC07","ZNF69","ENSG00000198429","7620","protein-coding"
"O60346","PHLPP1","ENSG00000081913","23239","protein-coding"
"Q13884","SNTB1","ENSG00000172164","6641","protein-coding"
"Q6PK18","OGFOD3","ENSG00000181396","79701","protein-coding"
"Q96I27","ZNF625","ENSG00000257591","90589","protein-coding"
"O75676","RPS6KA4","ENSG00000162302","8986","protein-coding"
"Q96JP2","MYO15B","ENSG00000266714","80022","protein-coding"
"Q9Y2R4","DDX52","ENSG00000278053","11056","protein-coding"
"Q9Y2R4","DDX52","ENSG00000277594","11056","protein-coding"
"O00461","GOLIM4","ENSG00000173905","27333","protein-coding"
"Q6P3S6","FBXO42","ENSG00000037637","54455","protein-coding"
"Q9NQC7","CYLD","ENSG00000083799","1540","protein-coding"
"Q12840","KIF5A","ENSG00000155980","3798","protein-coding"
"Q96DA0","ZG16B","ENSG00000162078","124220","protein-coding"
"Q96DA0","ZG16B","ENSG00000283056","124220","protein-coding"
"P78337","PITX1","ENSG00000069011","5307","protein-coding"
"Q9NYU2","UGGT1","ENSG00000136731","56886","protein-coding"
"Q9H8G2","CAAP1","ENSG00000120159","79886","protein-coding"
"P48730","CSNK1D","ENSG00000141551","1453","protein-coding"
"P53621","COPA","ENSG00000122218","1314","protein-coding"
"Q16384","SSX1","ENSG00000126752","6756","protein-coding"
"Q13105","ZBTB17","ENSG00000116809","7709","protein-coding"
"Q8N972","ZNF709","ENSG00000242852","163051","protein-coding"
"Q6NVU6","UFSP1","ENSG00000176125","402682","protein-coding"
"Q15773","MLF2","ENSG00000089693","8079","protein-coding"
"P78414","IRX1","ENSG00000170549","79192","protein-coding"
"Q8N823","ZNF611","ENSG00000213020","81856","protein-coding"
"P22413","ENPP1","ENSG00000197594","5167","protein-coding"
"Q9P2J5","LARS1","ENSG00000133706","51520","protein-coding"
"Q15878","CACNA1E","ENSG00000198216","777","protein-coding"
"Q9Y2H5","PLEKHA6","ENSG00000143850","22874","protein-coding"
"P23759","PAX7","ENSG00000009709","5081","protein-coding"
"Q8N8J7","FAM241A","ENSG00000174749","132720","protein-coding"
"Q8IZD0","SAMD14","ENSG00000167100","201191","protein-coding"
"Q9UP52","TFR2","ENSG00000106327","7036","protein-coding"
"O94788","ALDH1A2","ENSG00000128918","8854","protein-coding"
"Q13319","CDK5R2","ENSG00000171450","8941","protein-coding"
"Q92738","USP6NL","ENSG00000148429","9712","protein-coding"
"P04179","SOD2","ENSG00000112096","6648","protein-coding"
"O60462","NRP2","ENSG00000118257","8828","protein-coding"
"Q6P2Q9","PRPF8","ENSG00000174231","10594","protein-coding"
"Q6P2Q9","PRPF8","ENSG00000274442","10594","protein-coding"
"Q9NT22","EMILIN3","ENSG00000183798","90187","protein-coding"
"Q6NS38","ALKBH2","ENSG00000189046","121642","protein-coding"
"P14210","HGF","ENSG00000019991","3082","protein-coding"
"O60942","RNGTT","ENSG00000111880","8732","protein-coding"
"Q9NY74","ETAA1","ENSG00000143971","54465","protein-coding"
"Q5CZA5","ZNF805","ENSG00000204524","390980","protein-coding"
"Q8TF76","HASPIN","ENSG00000177602","83903","protein-coding"
"O75116","ROCK2","ENSG00000134318","9475","protein-coding"
"Q8NDI1","EHBP1","ENSG00000115504","23301","protein-coding"
"Q8TBZ3","WDR20","ENSG00000140153","91833","protein-coding"
"Q15269","PWP2","ENSG00000241945","5822","protein-coding"
"Q6XZF7","DNMBP","ENSG00000107554","23268","protein-coding"
"Q93009","USP7","ENSG00000187555","7874","protein-coding"
"Q02790","FKBP4","ENSG00000004478","2288","protein-coding"
"O60437","PPL","ENSG00000118898","5493","protein-coding"
"Q9NP73","ALG13","ENSG00000101901","79868","protein-coding"
"Q9Y493","ZAN","ENSG00000146839","7455","protein-coding"
"Q9Y5H4","PCDHGA1","ENSG00000204956","56114","protein-coding"
"P29973","CNGA1","ENSG00000198515","1259","protein-coding"
"P15104","GLUL","ENSG00000135821","2752","protein-coding"
"Q15389","ANGPT1","ENSG00000154188","284","protein-coding"
"Q13439","GOLGA4","ENSG00000144674","2803","protein-coding"
"Q14584","ZNF266","ENSG00000174652","10781","protein-coding"
"Q5SXM2","SNAPC4","ENSG00000165684","6621","protein-coding"
"Q9NZP8","C1RL","ENSG00000139178","51279","protein-coding"
"Q9NZP8","C1RL","ENSG00000288124","51279","protein-coding"
"Q9H6P5","TASP1","ENSG00000089123","55617","protein-coding"
"A6NK75","ZNF98","ENSG00000197360","148198","protein-coding"
"Q96MG7","NSMCE3","ENSG00000185115","56160","protein-coding"
"Q96MG7","NSMCE3","ENSG00000282130","56160","protein-coding"
"Q9UQB3","CTNND2","ENSG00000169862","1501","protein-coding"
"P11487","FGF3","ENSG00000186895","2248","protein-coding"
"Q96MM3","ZFP42","ENSG00000179059","132625","protein-coding"
"Q9H4W6","EBF3","ENSG00000108001","253738","protein-coding"
"Q9UL36","ZNF236","ENSG00000130856","7776","protein-coding"
"P78316","NOP14","ENSG00000087269","8602","protein-coding"
"Q92835","INPP5D","ENSG00000168918","3635","protein-coding"
"Q92835","INPP5D","ENSG00000281614","3635","protein-coding"
"Q8TEQ0","SNX29","ENSG00000048471","92017","protein-coding"
"Q86T82","USP37","ENSG00000135913","57695","protein-coding"
"O94851","MICAL2","ENSG00000133816","9645","protein-coding"
"Q6T4R5","NHS","ENSG00000188158","4810","protein-coding"
"Q8WVK2","SNRNP27","ENSG00000124380","11017","protein-coding"
"Q9Y5J1","UTP18","ENSG00000011260","51096","protein-coding"
"Q14914","PTGR1","ENSG00000106853","22949","protein-coding"
"Q13625","TP53BP2","ENSG00000143514","7159","protein-coding"
"Q99575","POP1","ENSG00000104356","10940","protein-coding"
"Q16222","UAP1","ENSG00000117143","6675","protein-coding"
"P61313","RPL15","ENSG00000174748","6138","protein-coding"
"O15265","ATXN7","ENSG00000163635","6314","protein-coding"
"Q9ULR0","ISY1","ENSG00000240682","57461","protein-coding"
"Q9ULR0","ISY1-RAB43","ENSG00000261796","100534599","protein-coding"
"Q86XH1","IQCA1","ENSG00000132321","79781","protein-coding"
"Q12907","LMAN2","ENSG00000169223","10960","protein-coding"
"Q96BT7","ALKBH8","ENSG00000137760","91801","protein-coding"
"A0A096LP49","CCDC187","ENSG00000260220","399693","protein-coding"
"P20023","CR2","ENSG00000117322","1380","protein-coding"
"O14607","UTY","ENSG00000183878","7404","protein-coding"
"Q7LFL8","CXXC5","ENSG00000171604","51523","protein-coding"
"P55285","CDH6","ENSG00000113361","1004","protein-coding"
"Q9UQD0","SCN8A","ENSG00000196876","6334","protein-coding"
"P26006","ITGA3","ENSG00000005884","3675","protein-coding"
"Q8N883","ZNF614","ENSG00000142556","80110","protein-coding"
"Q86T29","ZNF605","ENSG00000196458","100289635","protein-coding"
"O95450","ADAMTS2","ENSG00000087116","9509","protein-coding"
"O95450","ADAMTS2","ENSG00000283802","9509","protein-coding"
"Q9UHV9","PFDN2","ENSG00000143256","5202","protein-coding"
"Q9Y5H7","PCDHA5","ENSG00000204965","56143","protein-coding"
"Q9NT99","LRRC4B","ENSG00000131409","94030","protein-coding"
"Q569G3","C5orf47","ENSG00000185056","133491","protein-coding"
"O60336","MAPKBP1","ENSG00000137802","23005","protein-coding"
"Q53GL7","PARP10","ENSG00000178685","84875","protein-coding"
"Q8IWQ3","BRSK2","ENSG00000174672","9024","protein-coding"
"P13639","EEF2","ENSG00000167658","1938","protein-coding"
"Q9NVE5","USP40","ENSG00000085982","55230","protein-coding"
"Q7L804","RAB11FIP2","ENSG00000107560","22841","protein-coding"
"P54922","ADPRH","ENSG00000144843","141","protein-coding"
"Q9Y5H3","PCDHGA10","ENSG00000253846","56106","protein-coding"
"O75683","SURF6","ENSG00000148296","6838","protein-coding"
"O75683","SURF6","ENSG00000281309","6838","protein-coding"
"P38936","CDKN1A","ENSG00000124762","1026","protein-coding"
"P86480","PRR20A","ENSG00000204919","122183","protein-coding"
"P86480","PRR20B","ENSG00000204918","729233","protein-coding"
"P86480","PRR20C","ENSG00000229665","729240","protein-coding"
"P86480","PRR20D","ENSG00000227151","729246","protein-coding"
"P86480","PRR20E","ENSG00000234278","729250","protein-coding"
"P86478","PRR20A","ENSG00000204919","122183","protein-coding"
"P86478","PRR20B","ENSG00000204918","729233","protein-coding"
"P86478","PRR20C","ENSG00000229665","729240","protein-coding"
"P86478","PRR20D","ENSG00000227151","729246","protein-coding"
"P86478","PRR20E","ENSG00000234278","729250","protein-coding"
"P86479","PRR20A","ENSG00000204919","122183","protein-coding"
"P86479","PRR20B","ENSG00000204918","729233","protein-coding"
"P86479","PRR20C","ENSG00000229665","729240","protein-coding"
"P86479","PRR20D","ENSG00000227151","729246","protein-coding"
"P86479","PRR20E","ENSG00000234278","729250","protein-coding"
"P86496","PRR20A","ENSG00000204919","122183","protein-coding"
"P86496","PRR20B","ENSG00000204918","729233","protein-coding"
"P86496","PRR20C","ENSG00000229665","729240","protein-coding"
"P86496","PRR20D","ENSG00000227151","729246","protein-coding"
"P86496","PRR20E","ENSG00000234278","729250","protein-coding"
"P86481","PRR20A","ENSG00000204919","122183","protein-coding"
"P86481","PRR20B","ENSG00000204918","729233","protein-coding"
"P86481","PRR20C","ENSG00000229665","729240","protein-coding"
"P86481","PRR20D","ENSG00000227151","729246","protein-coding"
"P86481","PRR20E","ENSG00000234278","729250","protein-coding"
"Q9NR34","MAN1C1","ENSG00000117643","57134","protein-coding"
"Q969G9","NKD1","ENSG00000140807","85407","protein-coding"
"Q8N475","FSTL5","ENSG00000168843","56884","protein-coding"
"Q96IP4","TENT5A","ENSG00000112773","55603","protein-coding"
"Q99502","EYA1","ENSG00000104313","2138","protein-coding"
"Q9Y5Z7","HCFC2","ENSG00000111727","29915","protein-coding"
"Q9NQ66","PLCB1","ENSG00000182621","23236","protein-coding"
"P30837","ALDH1B1","ENSG00000137124","219","protein-coding"
"P05771","PRKCB","ENSG00000166501","5579","protein-coding"
"Q86XZ4","SPATS2","ENSG00000123352","65244","protein-coding"
"Q8IUL8","CILP2","ENSG00000160161","148113","protein-coding"
"Q8TDY4","ASAP3","ENSG00000088280","55616","protein-coding"
"Q8TDY4","ASAP3","ENSG00000282854","55616","protein-coding"
"Q8IYA8","IHO1","ENSG00000173421","339834","protein-coding"
"Q5VUJ9","EFCAB2","ENSG00000203666","84288","protein-coding"
"O15213","WDR46","ENSG00000227057","9277","protein-coding"
"O15213","WDR46","ENSG00000226916","9277","protein-coding"
"O15213","WDR46","ENSG00000236222","9277","protein-coding"
