"UNIPROT","SYMBOL","ENSEMBL","ENTREZID","GENETYPE"
"P35247","SFTPD","ENSG00000133661","6441","protein-coding"
"Q8N9W4","GOLGA6L2","ENSG00000174450","283685","protein-coding"
"Q8N9W4","GOLGA6L2","ENSG00000288517","283685","protein-coding"
"Q9C0J8","WDR33","ENSG00000136709","55339","protein-coding"
"Q00839","HNRNPU","ENSG00000153187","3192","protein-coding"
"Q7Z794","KRT77","ENSG00000189182","374454","protein-coding"
"P52272","HNRNPM","ENSG00000099783","4670","protein-coding"
"Q9Y3Y2","CHTOP","ENSG00000160679","26097","protein-coding"
"P39060","COL18A1","ENSG00000182871","80781","protein-coding"
"P12110","COL6A2","ENSG00000142173","1292","protein-coding"
"Q9UBB5","MBD2","ENSG00000134046","8932","protein-coding"
"P04632","CAPNS1","ENSG00000126247","826","protein-coding"
"Q9Y215","COLQ","ENSG00000206561","8292","protein-coding"
"P12109","COL6A1","ENSG00000142156","1291","protein-coding"
"Q8TAP9","MPLKIP","ENSG00000168303","136647","protein-coding"
"P19338","NCL","ENSG00000115053","4691","protein-coding"
"Q9NQS1","AVEN","ENSG00000169857","57099","protein-coding"
"Q9UPQ9","TNRC6B","ENSG00000100354","23112","protein-coding"
"Q12906","ILF3","ENSG00000129351","3609","protein-coding"
"Q14093","CYLC2","ENSG00000155833","1539","protein-coding"
"Q9Y2W1","THRAP3","ENSG00000054118","9967","protein-coding"
"Q6XPR3","RPTN","ENSG00000215853","126638","protein-coding"
"Q2M2I5","KRT24","ENSG00000167916","192666","protein-coding"
"Q9BXJ5","C1QTNF2","ENSG00000145861","114898","protein-coding"
"O75638","CTAG2","ENSG00000126890","30848","protein-coding"
"Q10571","MN1","ENSG00000169184","4330","protein-coding"
"P39059","COL15A1","ENSG00000204291","1306","protein-coding"
"P23246","SFPQ","ENSG00000116560","6421","protein-coding"
"Q07955","SRSF1","ENSG00000136450","6426","protein-coding"
"Q96AE4","FUBP1","ENSG00000162613","8880","protein-coding"
"Q9BQ61","TRIR","ENSG00000123144","79002","protein-coding"
"Q9BXJ2","C1QTNF7","ENSG00000163145","114905","protein-coding"
"Q6PF18","MORN3","ENSG00000139714","283385","protein-coding"
"P02538","KRT6A","ENSG00000205420","3853","protein-coding"
"Q8NDC4","MORN4","ENSG00000171160","118812","protein-coding"
"Q92686","NRGN","ENSG00000154146","4900","protein-coding"
"Q969E4","TCEAL3","ENSG00000196507","85012","protein-coding"
"P04259","KRT6B","ENSG00000185479","3854","protein-coding"
"Q08170","SRSF4","ENSG00000116350","6429","protein-coding"
"P31943","HNRNPH1","ENSG00000169045","3187","protein-coding"
"P31943","HNRNPH1","ENSG00000284254","3187","protein-coding"
"Q9GZP8","C19orf33","ENSG00000167644","64073","protein-coding"
"P48668","KRT6C","ENSG00000170465","286887","protein-coding"
"Q03052","POU3F1","ENSG00000185668","5453","protein-coding"
"Q00577","PURA","ENSG00000185129","5813","protein-coding"
"Q9NP98","MYOZ1","ENSG00000177791","58529","protein-coding"
"Q15056","EIF4H","ENSG00000106682","7458","protein-coding"
"Q8NDV7","TNRC6A","ENSG00000090905","27327","protein-coding"
"Q8NDV7","TNRC6A","ENSG00000288130","27327","protein-coding"
"P02810","PRH1","ENSG00000231887","5554","protein-coding"
"P02810","PRH1","ENSG00000263247","5554","protein-coding"
"P02810","PRH1","ENSG00000282269","5554","protein-coding"
"P02810","PRH1","ENSG00000277823","5554","protein-coding"
"P02810","PRH1","ENSG00000111215","5554","protein-coding"
"P02810","PRH2","ENSG00000134551","5555","protein-coding"
"P02810","PRH2","ENSG00000272803","5555","protein-coding"
"P02810","PRH2","ENSG00000275679","5555","protein-coding"
"O60506","SYNCRIP","ENSG00000135316","10492","protein-coding"
"Q8WZ42","TTN","ENSG00000155657","7273","protein-coding"
