"","pearson","gene","cluster"
"13",1,"CHST5",1
"23",1,"FCN1",1
"29",1,"GPC4",1
"33",1,"HLA-DPA1",1
"37",1,"HSPB1",1
"43",1,"LAD1",1
"44",1,"LCP2",1
"4",0.99,"BASP1",1
"8",0.99,"CALHM6",1
"16",0.99,"CNNM1",1
"17",0.99,"DCX",1
"21",0.99,"F13A1",1
"31",0.99,"GUCY1A1",1
"41",0.99,"ITM2A",1
"57",0.99,"PIF1",1
"64",0.99,"SPAG5",1
"69",0.99,"TSPAN32",1
"1",0.98,"ALPK1",1
"5",0.98,"BATF",1
"6",0.98,"BCL6",1
"9",0.98,"CCN1",1
"19",0.98,"E2F7",1
"40",0.98,"IKZF1",1
"68",0.98,"TMEM273",1
"26",0.97,"GABRB2",1
"10",0.96,"CCNB2",1
"11",0.96,"CDCA2",1
"12",0.96,"CENPF",1
"25",0.96,"FSD1L",1
"34",0.96,"HMGB3",1
"35",0.96,"HPGD",1
"45",0.96,"LEF1-AS1",1
"59",0.96,"RARRES1",1
"60",0.96,"RHBDL1",1
"3",0.95,"ANKS4B",1
"36",0.95,"HSPA1A",1
"42",0.95,"KIF11",1
"47",0.95,"MKI67",1
"52",0.95,"OTUD3",1
"53",0.95,"OTX2",1
"58",0.95,"PSRC1",1
"63",0.95,"SLC47A1",1
"65",0.95,"STKLD1",1
"70",0.95,"ZMYND10",1
"24",0.94,"FLT1",1
"51",0.94,"ORAI2",1
"55",0.94,"PCDH19",1
"66",0.94,"STXBP6",1
"14",0.93,"CKS2",1
"30",0.93,"GRK5",1
"32",0.93,"H1-3",1
"49",0.93,"NMU",1
"56",0.93,"PDLIM2",1
"7",0.92,"BIRC5",1
"20",0.92,"EPB41",1
"27",0.92,"GMDS",1
"38",0.92,"HSPB3",1
"46",0.92,"LINC00908",1
"50",0.92,"NUF2",1
"62",0.92,"SKAP2",1
"18",0.9,"DNAJB1",1
"39",0.88,"IGSF6",1
"61",0.88,"RPGR",1
"15",0.86,"CLU",1
"48",0.79,"MS4A6A",1
"22",0.78,"FCER1G",1
"54",0.77,"PBK",1
"28",0.75,"GNAI2",1
"67",0.66,"TAMALIN",1
"2",0.62,"ANKRD9",1
"87",1,"CDKN2A",2
"211",1,"EDN2",2
"251",1,"FCGR3A",2
"261",1,"FGL2",2
"391",1,"ITPR2",2
"511",1,"MS4A4A",2
"521",1,"MT3",2
"581",1,"OLIG1",2
"591",1,"OLIG2",2
"601",1,"OLR1",2
"71",1,"SCRG1",2
"75",1,"SPARC",2
"82",1,"TREM2",2
"210",0.99,"APOD",2
"310",0.99,"AQP4",2
"111",0.99,"COL11A1",2
"141",0.99,"CSF1R",2
"171",0.99,"CXXC1",2
"231",0.99,"FAM83D",2
"241",0.99,"FBLN5",2
"351",0.99,"IER3",2
"361",0.99,"IER5",2
"381",0.99,"ITGAX",2
"401",0.99,"KLF4",2
"421",0.99,"KLRC3",2
"491",0.99,"MIR9-1HG",2
"531",0.99,"NFIB",2
"571",0.99,"NTRK2",2
"631",0.99,"PLAUR",2
"72",0.99,"SERPINA1",2
"73",0.99,"SGK1",2
"74",0.99,"SMOC1",2
"77",0.99,"SSH1",2
"80",0.99,"TMEM176B",2
"81",0.99,"TMIGD3",2
"84",0.99,"ZEB2",2
"86",0.99,"ZNF385B",2
"510",0.98,"CADM2",2
"610",0.98,"CCNA2",2
"161",0.98,"CXCL8",2
"221",0.98,"EPSTI1",2
"301",0.98,"GIMAP4",2
"411",0.98,"KLHDC4",2
"441",0.98,"LGALS1",2
"461",0.98,"LRRC8C-DT",2
"501",0.98,"MLLT11",2
"561",0.98,"NR4A2",2
"651",0.98,"PTPRC",2
"661",0.98,"PTPRE",2
"681",0.98,"RARRES2",2
"110",0.97,"ANXA2",2
"710",0.97,"CD86",2
"201",0.97,"ECRG4",2
"451",0.97,"LRRC58",2
"471",0.97,"MAD2L1",2
"701",0.97,"RGS19",2
"79",0.97,"TAL1",2
"321",0.96,"HLA-B",2
"371",0.96,"IL10RA",2
"431",0.96,"LAPTM5",2
"481",0.96,"MAFB",2
"611",0.96,"P2RY13",2
"121",0.95,"COX4I2",2
"76",0.95,"SPC25",2
"311",0.94,"GNAS",2
"101",0.93,"CNRIP1",2
"410",0.92,"ARHGDIB",2
"551",0.92,"NR2F1",2
"191",0.91,"DMAC2L",2
"541",0.91,"NPL",2
"671",0.89,"PYCARD",2
"281",0.88,"GADD45B",2
"341",0.88,"HMGA1",2
"291",0.87,"GGH",2
"131",0.86,"CP",2
"271",0.83,"FOLR2",2
"621",0.83,"PLAC9",2
"151",0.81,"CTSD",2
"691",0.8,"RGCC",2
"331",0.79,"HLA-DPB1",2
"641",0.78,"PTGER4",2
"78",0.74,"STYX",2
"83",0.74,"XAF1",2
"85",0.74,"ZNF347",2
"181",0.69,"CYBA",2
"91",0.68,"CLDN10",2
"212",1,"ADAMTSL5",3
"312",1,"AIM2",3
"412",1,"ANKRD1",3
"512",1,"APOBEC3D",3
"1110",1,"BBOX1",3
"142",1,"C2CD4A",3
"172",1,"CDA",3
"192",1,"CDH23",3
"202",1,"CDH5",3
"213",1,"CETP",3
"222",1,"CFAP92",3
"232",1,"CFP",3
"242",1,"CHRNB4",3
"262",1,"CORO2A",3
"272",1,"CPA5",3
"292",1,"CSNK1A1L",3
"302",1,"CTSE",3
"322",1,"DEFB1",3
"332",1,"DIRC1",3
"342",1,"DKK1",3
"352",1,"DNM3-IT1",3
"362",1,"DPP4",3
"392",1,"EBI3",3
"402",1,"EDN1",3
"413",1,"ERICH6B",3
"442",1,"FGF13-AS1",3
"462",1,"FLACC1",3
"482",1,"FRMD1",3
"513",1,"GALNT6",3
"532",1,"GBP6",3
"542",1,"GFI1B",3
"552",1,"GH2",3
"562",1,"GHRHR",3
"572",1,"GIMAP7",3
"582",1,"GOLGA8IP",3
"592",1,"GPC5-AS1",3
"622",1,"HEPACAM2",3
"642",1,"IFI44L",3
"652",1,"IL1R2",3
"662",1,"IL33",3
"702",1,"KRT17",3
"711",1,"KRTDAP",3
"721",1,"KTN1-AS1",3
"731",1,"LAIR2",3
"741",1,"LBX2",3
"771",1,"LYN",3
"811",1,"MYBPHL",3
"821",1,"NAMA",3
"831",1,"NANOS2",3
"861",1,"NLRP14",3
"88",1,"OPCML",3
"911",1,"PDZRN4",3
"93",1,"PIK3C2G",3
"94",1,"PNOC",3
"97",1,"PPM1J",3
"99",1,"PYY2",3
"100",1,"RELN",3
"102",1,"SAA1",3
"104",1,"SLC18A3",3
"105",1,"SLC39A8",3
"106",1,"SLC5A9",3
"107",1,"SLCO2A1",3
"108",1,"SMCR5",3
"1111",1,"STK31",3
"112",1,"STMND1",3
"113",1,"SYT2",3
"115",1,"TDGF1",3
"117",1,"TESPA1",3
"118",1,"TEX14",3
"120",1,"TSHB",3
"1211",1,"TSPAN1",3
"123",1,"ZNF683",3
"124",1,"ZNF808",3
"125",1,"ZNF852",3
"1010",0.99,"ATXN3",3
"313",0.99,"DBF4",3
"372",0.99,"DRC7",3
"502",0.99,"GAL",3
"602",0.99,"GPR135",3
"672",0.99,"KCNJ8",3
"761",0.99,"LMX1A",3
"92",0.99,"PECAM1",3
"103",0.99,"SILC1",3
"109",0.99,"SNCA",3
"1101",0.99,"STC1",3
"114",0.99,"TAGLN",3
"132",0.98,"BSN",3
"252",0.98,"CLEC14A",3
"422",0.98,"ESM1",3
"612",0.98,"HBE1",3
"791",0.98,"MUC15",3
"801",0.98,"MYB",3
"95",0.98,"POU1F1",3
"96",0.98,"PPFIA2",3
"98",0.98,"PTGS1",3
"1011",0.98,"ROBO4",3
"116",0.98,"TDRD9",3
"122",0.98,"TSSC2",3
"126",0.97,"ABI3",3
"712",0.97,"ARID3A",3
"162",0.97,"CAPG",3
"182",0.97,"CDC25C",3
"432",0.97,"FBXO32",3
"492",0.97,"FYB2",3
"522",0.97,"GASK1A",3
"751",0.97,"LGMN",3
"89",0.97,"PCSK1",3
"613",0.96,"APOLD1",3
"810",0.96,"ASF1B",3
"452",0.96,"FGF8",3
"682",0.96,"KDR",3
"692",0.96,"KLK12",3
"781",0.96,"MNS1",3
"841",0.96,"NES",3
"871",0.96,"NRTN",3
"282",0.95,"CRYGD",3
"382",0.95,"DZANK1",3
"910",0.94,"ATAD2",3
"90",0.94,"PDGFRB",3
"851",0.93,"NKAIN3",3
"632",0.91,"IDO1",3
"472",0.89,"FMN2",3
"119",0.89,"TMED3",3
"127",0.87,"BRCA1",3
"152",0.87,"CAD",3
"243",1,"FSTL5",4
"253",1,"GNB3",4
"373",1,"NCAPG",4
"614",1,"TAGAP",4
"812",0.99,"CILP",4
"283",0.99,"HJURP",4
"293",0.99,"HMMR",4
"323",0.99,"KPNA2",4
"333",0.99,"LTC4S",4
"363",0.99,"MXD3",4
"414",0.99,"NRN1L",4
"473",0.99,"PRDM1",4
"514",0.99,"S100A2",4
"523",0.99,"SFRP4",4
"663",0.99,"VSTM2A",4
"128",0.98,"ADPRH",4
"912",0.98,"CKAP2L",4
"1112",0.98,"COL6A6",4
"133",0.98,"CRTC3-AS1",4
"163",0.98,"DEPDC7",4
"203",0.98,"ENO3",4
"214",0.98,"EVI2A",4
"353",0.98,"MELK",4
"493",0.98,"PRSS35",4
"515",0.97,"CALY",4
"223",0.97,"FAM122B",4
"393",0.97,"NENF",4
"583",0.97,"SPARCL1",4
"593",0.97,"STMN2",4
"314",0.96,"ASB4",4
"173",0.96,"DYNC1I1",4
"183",0.96,"EGLN3",4
"403",0.96,"NEUROD1",4
"563",0.96,"SLPI",4
"623",0.96,"TAGLN3",4
"215",0.95,"ARG2",4
"343",0.95,"MAP7D2",4
"453",0.95,"POLA2",4
"553",0.95,"SLC25A45",4
"643",0.95,"TRDN",4
"143",0.94,"CRYM",4
"415",0.93,"C1orf122",4
"263",0.93,"H2AC20",4
"433",0.93,"PDPN",4
"713",0.92,"CENPN",4
"129",0.92,"COL8A1",4
"273",0.92,"H2BC12",4
"483",0.92,"PRELP",4
"615",0.91,"CENPE",4
"603",0.91,"STX2",4
"303",0.9,"IL13RA2",4
"423",0.9,"PCSK1N",4
"443",0.9,"PHACTR3",4
"573",0.9,"SOX2-OT",4
"153",0.89,"DCLK1",4
"383",0.89,"NDC80",4
"463",0.89,"PON3",4
"1012",0.88,"CKB",4
"503",0.88,"RAD51AP1",4
"543",0.88,"SHCBP1",4
"533",0.87,"SGO2",4
"653",0.87,"TTYH1",4
"193",0.86,"EGR2",4
"233",0.81,"FECH",4
"315",0.76,"ITGB8",4
"633",0.76,"TK1",4
"130",1,"ABCC8",5
"1013",1,"CNTN2",5
"444",1,"PLTP",5
"516",1,"RNASEH2A",5
"204",0.99,"GH1",5
"216",0.99,"GINS2",5
"274",0.99,"IFIT3",5
"294",0.99,"ISG15",5
"324",0.99,"LRRTM3",5
"334",0.99,"LXN",5
"454",0.99,"POC1A",5
"474",0.99,"PRR7-AS1",5
"574",0.99,"SMIM22",5
"616",0.99,"TROAP",5
"494",0.98,"PUS1",5
"534",0.98,"SCGB3A1",5
"544",0.98,"SCN3A",5
"644",0.98,"VSIG1",5
"217",0.97,"ARHGAP18",5
"144",0.97,"DAPL1",5
"154",0.97,"DEFA6",5
"174",0.97,"EZR",5
"194",0.97,"FXYD5",5
"354",0.97,"MGARP",5
"394",0.97,"PCNA",5
"464",0.97,"PRR11",5
"504",0.97,"RAPGEF5",5
"654",0.97,"ZNF385C",5
"517",0.96,"BRCA2",5
"1113",0.96,"CTSB",5
"304",0.96,"KLF6",5
"364",0.96,"NUCB2",5
"374",0.96,"OLFML3",5
"416",0.96,"PGAM2",5
"624",0.96,"UBE2T",5
