"","pearson","gene","cluster"
"12",0.99,"CD40",1
"13",0.99,"CDH23",1
"17",0.99,"COL19A1",1
"44",0.99,"GSTA1",1
"59",0.99,"KCNA1",1
"75",0.99,"OPCML",1
"82",0.99,"POM121L8P",1
"85",0.99,"PRR7-AS1",1
"95",0.99,"SLC25A53",1
"11",0.98,"CD2",1
"20",0.98,"CP",1
"24",0.98,"DNAJC18",1
"27",0.98,"ECEL1",1
"35",0.98,"FCGR2B",1
"36",0.98,"FGF13-AS1",1
"79",0.98,"PLAAT4",1
"80",0.98,"PNOC",1
"81",0.98,"POF1B",1
"91",0.98,"SBNO2",1
"100",0.98,"SSTR5-AS1",1
"104",0.98,"TDO2",1
"108",0.98,"TSSK3",1
"111",0.98,"WFIKKN2",1
"112",0.98,"ZBTB20-AS4",1
"3",0.97,"ANGPT2",1
"16",0.97,"COL15A1",1
"31",0.97,"F13A1",1
"57",0.97,"IKZF1",1
"74",0.97,"OAS1",1
"105",0.97,"TMEM86B",1
"37",0.96,"FOLR1",1
"53",0.96,"IFIT3",1
"23",0.95,"DDC",1
"48",0.95,"H1-5",1
"109",0.95,"VIPR1",1
"1",0.94,"ADIRF",1
"22",0.94,"CXCL10",1
"106",0.92,"TNFRSF1B",1
"10",0.91,"CCR1",1
"70",0.91,"NCF2",1
"14",0.9,"CEMIP",1
"64",0.9,"LIX1",1
"69",0.9,"MYB",1
"93",0.9,"SELPLG",1
"94",0.9,"SH2D6",1
"47",0.89,"H1-3",1
"65",0.89,"LMX1A",1
"99",0.89,"SOD2",1
"84",0.87,"PPP1R14C",1
"90",0.87,"RHPN1-AS1",1
"62",0.86,"LCP2",1
"114",0.86,"ZNF732",1
"42",0.85,"GNB3",1
"46",0.85,"H1-2",1
"110",0.85,"VSIR",1
"29",0.84,"EDNRA",1
"76",0.84,"PCAT18",1
"92",0.84,"SCIN",1
"96",0.84,"SLC26A2",1
"7",0.82,"C3",1
"39",0.82,"FREM2",1
"66",0.82,"LYN",1
"21",0.81,"CSF1R",1
"33",0.81,"FANCB",1
"38",0.8,"FOXG1",1
"52",0.8,"H4C3",1
"113",0.8,"ZNF324B",1
"9",0.79,"CAGE1",1
"45",0.79,"H1-1",1
"83",0.79,"PPIF",1
"4",0.78,"ASPN",1
"89",0.78,"RHBDL1",1
"78",0.77,"PDGFRB",1
"77",0.76,"PCDHGA10",1
"102",0.76,"STYX",1
"19",0.75,"COL4A1",1
"71",0.75,"NELL1",1
"25",0.74,"E2F2",1
"63",0.74,"LINC02076",1
"68",0.74,"MND1",1
"73",0.74,"NUPR2",1
"34",0.73,"FBLN5",1
"88",0.73,"RGS10",1
"28",0.71,"EDN3",1
"30",0.71,"ESCO2",1
"67",0.71,"MIR924HG",1
"101",0.7,"STRC",1
"54",0.69,"IGFBP3",1
"87",0.69,"RBP7",1
"98",0.69,"SNCA",1
"107",0.69,"TPM2",1
"97",0.68,"SLPI",1
"15",0.67,"CHMP4B",1
"40",0.67,"GAS1",1
"41",0.67,"GMNN",1
"5",0.66,"BEND3",1
"56",0.66,"IGFBP6",1
"6",0.65,"C1orf122",1
"103",0.65,"TBXAS1",1
"2",0.64,"ALDH1A1",1
"8",0.62,"C9orf24",1
"18",0.61,"COL25A1",1
"26",0.61,"E2F7",1
"49",0.6,"H2AC12",1
"60",0.6,"KIAA1107",1
"50",0.59,"H2AC20",1
"61",0.59,"LARP1B",1
"58",0.55,"ITPR2",1
"51",0.54,"H2AZ1",1
"72",0.54,"NR2F1",1
"86",0.51,"RAD51AP1",1
"55",0.5,"IGFBP5",1
"32",0.49,"FAM20C",1
"43",0.46,"GPC3",1
"126",1,"AATBC",2
"310",1,"ALOX12B",2
"410",1,"ANKRD1",2
"510",1,"APOBEC3A",2
"810",1,"B4GALT1-AS1",2
"910",1,"BBOX1",2
"1010",1,"BTNL2",2
"1110",1,"C3orf80",2
"127",1,"C8orf37-AS1",2
"131",1,"CATSPER1",2
"141",1,"CATSPER3",2
"161",1,"CCL22",2
"171",1,"CD40LG",2
"181",1,"CD5L",2
"191",1,"CDA",2
"211",1,"CEBPB-AS1",2
"221",1,"CFAP92",2
"241",1,"CLEC4F",2
"251",1,"CLEC5A",2
"261",1,"COX4I2",2
"271",1,"CRH",2
"281",1,"CTSE",2
"291",1,"CXCL13",2
"301",1,"CYP11A1",2
"311",1,"CYP1B1",2
"351",1,"DLGAP4-AS1",2
