"","pearson","gene","cluster"
"15",0.98,"CA4",1
"62",0.98,"IBSP",1
"95",0.98,"OASL",1
"96",0.98,"OR10G3",1
"119",0.98,"SERPIND1",1
"130",0.98,"TMEM233",1
"16",0.97,"CACNA1B",1
"82",0.97,"MC2R",1
"122",0.97,"SMIM24",1
"36",0.96,"EDN1",1
"88",0.96,"MT3",1
"98",0.96,"PDE4C",1
"5",0.95,"AJAP1",1
"7",0.95,"AMPD1",1
"10",0.95,"AVPR2",1
"12",0.95,"BOLL",1
"13",0.95,"C10orf99",1
"23",0.95,"CLDN25",1
"27",0.95,"CRISP2",1
"29",0.95,"CSF3",1
"51",0.95,"GPR55",1
"71",0.95,"KCNH7",1
"78",0.95,"KRTAP5-7",1
"80",0.95,"LINC01474",1
"86",0.95,"MSX2P1",1
"97",0.95,"OR7D2",1
"116",0.95,"RRAD",1
"128",0.95,"THEM5",1
"129",0.95,"TIGIT",1
"134",0.95,"TNFSF14",1
"140",0.95,"XIRP1",1
"2",0.94,"ADAMDEC1",1
"22",0.94,"CLDN2",1
"43",0.94,"FCN2",1
"100",0.93,"PITRM1-AS1",1
"126",0.93,"TAL1",1
"57",0.92,"HIPK4",1
"124",0.92,"SPTA1",1
"111",0.91,"RASGRF1",1
"112",0.91,"RBM38",1
"9",0.9,"ARG2",1
"26",0.9,"CR1L",1
"44",0.9,"FGF1",1
"49",0.9,"GBP1",1
"42",0.89,"FCER2",1
"52",0.89,"HAMP",1
"113",0.89,"RFX8",1
"142",0.89,"ZNF331",1
"85",0.88,"MST1R",1
"39",0.87,"ESM1",1
"76",0.87,"KPNA2",1
"21",0.86,"CGB7",1
"45",0.86,"FILIP1L",1
"81",0.86,"MAFF",1
"109",0.86,"PTGS1",1
"110",0.86,"RAMP3",1
"68",0.85,"IRF1",1
"92",0.85,"NR4A2",1
"59",0.84,"HLA-G",1
"72",0.84,"KCNQ4",1
"19",0.83,"CDC42EP3",1
"89",0.83,"NEAT1",1
"18",0.82,"CD79B",1
"32",0.82,"DLX6",1
"118",0.82,"SCT",1
"141",0.82,"ZBTB16",1
"3",0.81,"ADIRF",1
"20",0.81,"CDKN1A",1
"133",0.81,"TNFRSF12A",1
"41",0.8,"FBXO32",1
"114",0.8,"RGCC",1
"137",0.8,"TTR",1
"73",0.79,"KEL",1
"99",0.79,"PDLIM3",1
"123",0.79,"SP2-AS1",1
"66",0.78,"IL6R",1
"94",0.78,"NUDT4",1
"30",0.77,"CSHL1",1
"63",0.77,"ICAM1",1
"31",0.76,"CYP3A4",1
"47",0.76,"FOSB",1
"67",0.76,"INHBB",1
"17",0.75,"CD55",1
"24",0.75,"CLU",1
"33",0.75,"DLX6-AS1",1
"56",0.75,"HHIP",1
"64",0.75,"IER3",1
"93",0.75,"NR4A3",1
"28",0.74,"CRTC3-AS1",1
"74",0.74,"KIAA1107",1
"106",0.74,"PSG4",1
"8",0.73,"ANXA1",1
"40",0.73,"FAM20C",1
"55",0.73,"HHATL",1
"69",0.73,"IRF8",1
"79",0.73,"LINC00337",1
"103",0.73,"POF1B",1
"108",0.73,"PTGER4",1
"115",0.73,"RGS10",1
"101",0.72,"PLAUR",1
"102",0.72,"PLXND1",1
"14",0.71,"C5AR1",1
"38",0.71,"ERFE",1
"91",0.71,"NPTX2",1
"121",0.71,"SMIM1",1
"46",0.7,"FLACC1",1
"75",0.7,"KLF1",1
"138",0.7,"TUBB6",1
"53",0.69,"HBEGF",1
"117",0.69,"SBNO2",1
"127",0.69,"TDO2",1
"135",0.69,"TSPAN1",1
"35",0.68,"ECEL1",1
"65",0.68,"IL33",1
"87",0.68,"MT2A",1
"77",0.67,"KRT17",1
"132",0.67,"TNFAIP3",1
"50",0.66,"GLRX",1
"34",0.65,"DUSP2",1
"58",0.64,"HLA-E",1
"61",0.64,"HMOX1",1
"131",0.64,"TNF",1
"139",0.63,"USP27X",1
"4",0.62,"ADM",1
"37",0.61,"ELF3",1
"70",0.61,"ITPR2",1
"6",0.6,"AKAP12",1
"83",0.6,"MMP9",1
"105",0.59,"PPIF",1
"25",0.58,"CPA5",1
"48",0.58,"FYB2",1
"120",0.58,"SLC1A3",1
"1",0.57,"ABCG2",1
"104",0.57,"PPFIA2",1
"107",0.56,"PTCHD1",1
"125",0.55,"TAGLN2",1
"11",0.52,"BACE2",1
"136",0.51,"TSPAN32",1
"84",0.5,"MS4A7",1
"60",0.47,"HMGB2",1
"90",0.47,"NPNT",1
"54",0.44,"HBG1",1
"251",0.94,"CNTN2",2
"801",0.94,"PRDM1",2
"610",0.93,"BCL2A1",2
"161",0.93,"CCL4",2
"461",0.93,"GIMAP7",2
"771",0.93,"ODF3B",2
"791",0.92,"PPP1R16B",2
"281",0.91,"COL4A1",2
"341",0.91,"CYTOR",2
"571",0.91,"IL10RA",2
"501",0.9,"GPR183",2
"710",0.89,"BCL6",2
"651",0.89,"LGALS9",2
"271",0.87,"COL1A1",2
"411",0.87,"ENOX1",2
"261",0.86,"COL14A1",2
"491",0.86,"GNG12-AS1",2
"581",0.86,"IL1A",2
"331",0.85,"CXCL8",2
"481",0.85,"GNAS",2
"591",0.85,"IL1B",2
"861",0.85,"SMIM22",2
"391",0.84,"DOCK8",2
"841",0.84,"S1PR1",2
"1010",0.82,"C1orf162",2
"1110",0.82,"C21orf62",2
"361",0.82,"DNAH8",2
"401",0.82,"DOK2",2
"541",0.82,"IER5",2
"931",0.82,"TDRD9",2
"761",0.81,"NFKBIZ",2
"151",0.8,"CCL3",2
"201",0.8,"CD83",2
"311",0.8,"CTSS",2
"621",0.8,"KLHL11",2
"731",0.8,"MX2",2
"701",0.79,"LST1",2
"961",0.79,"TREM1",2
"510",0.78,"BATF3",2
"951",0.78,"TLR4",2
"971",0.78,"TUBA1C",2
"991",0.78,"VGF",2
"910",0.77,"C1orf122",2
