"","pearson","gene","cluster"
"13",0.98,"EDN2",1
"43",0.98,"PTGS1",1
"4",0.97,"BTNL2",1
"25",0.97,"KRT25",1
"56",0.97,"TIGD5",1
"2",0.96,"ANKRD1",1
"18",0.96,"GAPDHS",1
"23",0.96,"GPR84",1
"37",0.96,"PCP2",1
"9",0.95,"CALR3",1
"12",0.95,"DHRS2",1
"31",0.95,"MAP3K19",1
"38",0.95,"PDLIM2",1
"58",0.95,"ZMYND10",1
"11",0.94,"CDH26",1
"10",0.93,"CATSPER3",1
"5",0.92,"C11orf16",1
"26",0.91,"KRTDAP",1
"27",0.91,"KTN1-AS1",1
"51",0.88,"SLC22A4",1
"30",0.87,"LRRC32",1
"36",0.86,"P2RY13",1
"34",0.83,"NGF",1
"28",0.81,"LEFTY2",1
"53",0.81,"STKLD1",1
"20",0.79,"GJB7",1
"6",0.78,"C9orf24",1
"49",0.78,"SH2D6",1
"44",0.77,"RDH12",1
"48",0.77,"SH2D3A",1
"1",0.74,"ADGRF3",1
"19",0.74,"GBP1",1
"29",0.74,"LINC00473",1
"7",0.73,"CALCA",1
"16",0.72,"FPR1",1
"40",0.72,"PLA2G1B",1
"47",0.72,"SELENOV",1
"52",0.68,"SSTR5-AS1",1
"17",0.66,"GALNT14",1
"33",0.66,"MT2A",1
"54",0.65,"STMND1",1
"22",0.64,"GPR6",1
"55",0.64,"TFPI2",1
"8",0.62,"CALHM6",1
"46",0.62,"SCG2",1
"57",0.62,"UCHL1",1
"21",0.59,"GNG3",1
"3",0.56,"ARG2",1
"42",0.56,"PRR15L",1
"45",0.56,"RFC3",1
"15",0.54,"FAIM2",1
"32",0.51,"MBNL3",1
"14",0.49,"EPCAM",1
"24",0.47,"KRT19",1
"35",0.46,"OTOS",1
"50",0.43,"SLC11A1",1
"39",0.37,"PEG10",1
"41",0.36,"PLD3",1
"910",0.99,"ARHGAP15",2
"179",0.99,"BHLHE41",2
"461",0.99,"DHRS7C",2
"571",0.99,"FAM178B",2
"74",0.99,"H2AC12",2
"78",0.99,"HBBP1",2
"122",0.99,"P2RX1",2
"131",0.99,"PRSS21",2
"210",0.98,"ADAM21",2
"1510",0.98,"BATF3",2
"191",0.98,"C11orf21",2
"261",0.98,"CD37",2
"301",0.98,"CENPK",2
"351",0.98,"CPA5",2
"361",0.98,"CPLX3",2
"411",0.98,"CTSW",2
"441",0.98,"CYTOR",2
"72",0.98,"GYPE",2
"77",0.98,"H3C8",2
"79",0.98,"HBQ1",2
"91",0.98,"KEL",2
"92",0.98,"KLF1",2
"96",0.98,"LINC00332",2
"125",0.98,"PCSK9",2
"132",0.98,"PRSS57",2
"147",0.98,"SERPINA5",2
"169",0.98,"TSPAN32",2
"171",0.98,"UBD",2
"710",0.97,"APOC1",2
"1110",0.97,"ARHGDIB",2
"271",0.97,"CD52",2
