"","pearson","gene","cluster"
"11",0.99,"AVPR2",1
"16",0.99,"C3",1
"18",0.99,"CEACAM4",1
"22",0.99,"CMTM2",1
"28",0.99,"CRTC3-AS1",1
"46",0.99,"FCGR1A",1
"47",0.99,"FCGR1CP",1
"73",0.99,"L3MBTL4-AS1",1
"74",0.99,"LINC02872",1
"1",0.98,"ABCB1",1
"26",0.98,"COX6A2",1
"71",0.98,"JAKMIP2-AS1",1
"30",0.97,"CST7",1
"56",0.97,"GUCA1A",1
"79",0.97,"MT1E",1
"118",0.97,"STMN4",1
"125",0.97,"TNFSF13B",1
"51",0.96,"G0S2",1
"86",0.96,"PENK",1
"87",0.96,"PEX5",1
"119",0.96,"STYX",1
"123",0.96,"TDRD9",1
"15",0.95,"C2CD4A",1
"27",0.95,"CPLX3",1
"40",0.95,"EMX2",1
"49",0.95,"FCGR3A",1
"69",0.95,"ITGAL",1
"29",0.94,"CRYM",1
"34",0.94,"DSG3",1
"65",0.94,"IFIH1",1
"21",0.93,"CLIC4",1
"39",0.93,"EGFL6",1
"43",0.93,"FALEC",1
"54",0.93,"GPR34",1
"129",0.93,"VSNL1",1
"35",0.92,"E2F3",1
"95",0.92,"PRECSIT",1
"110",0.92,"SERPINA3",1
"115",0.92,"SLC7A11",1
"17",0.91,"CD82",1
"23",0.91,"CNNM1",1
"52",0.91,"GIMAP7",1
"92",0.9,"PNMT",1
"93",0.9,"PPP1R27",1
"10",0.89,"ASPN",1
"36",0.89,"EBI3",1
"67",0.89,"IL1A",1
"131",0.89,"WASIR2",1
"44",0.88,"FBLL1",1
"57",0.88,"GZMA",1
"91",0.88,"PMAIP1",1
"101",0.88,"RBP7",1
"2",0.87,"ABCG2",1
"32",0.86,"DLX2",1
"84",0.86,"PCLAF",1
"90",0.86,"PKIB",1
"130",0.86,"WARS1",1
"24",0.85,"COL1A1",1
"103",0.85,"RGS1",1
"89",0.84,"PIK3R5",1
"105",0.84,"RGS4",1
"126",0.84,"UBE2T",1
"132",0.84,"ZBTB16",1
"48",0.83,"FCGR2B",1
"75",0.83,"LIX1",1
"4",0.82,"ACP5",1
"59",0.82,"H2AC12",1
"80",0.82,"MT1F",1
"76",0.81,"LRRTM3",1
"14",0.8,"C11orf21",1
"72",0.8,"KLRC1",1
"98",0.8,"PTPRCAP",1
"112",0.8,"SH2D1B",1
"113",0.8,"SLC25A45",1
"134",0.8,"ZNF791",1
"20",0.79,"CLEC10A",1
"42",0.79,"FAIM2",1
"50",0.79,"FMO1",1
"81",0.79,"MT3",1
"96",0.79,"PRPH",1
"99",0.79,"PYCARD",1
"102",0.79,"RCAN1",1
"111",0.79,"SFRP4",1
"120",0.79,"TCF21",1
"13",0.78,"BST2",1
"104",0.78,"RGS19",1
"41",0.77,"F13A1",1
"33",0.76,"DMAC2L",1
"100",0.75,"RARRES1",1
"70",0.74,"ITGB2",1
"77",0.74,"LURAP1L-AS1",1
"117",0.74,"SSTR5-AS1",1
"127",0.74,"UNC93B1",1
"5",0.72,"ADAP2",1
"78",0.72,"MGP",1
"97",0.72,"PTGS2",1
"122",0.72,"TDO2",1
"63",0.71,"HLA-G",1
"61",0.7,"H2BC12",1
"94",0.7,"PPP2R2B",1
"25",0.68,"COL8A1",1
"82",0.68,"NUDT1",1
"37",0.67,"EDNRB",1
"114",0.67,"SLC39A8",1
"124",0.67,"TESMIN",1
"8",0.66,"APOBEC3D",1
"9",0.65,"ARHGAP15",1
"62",0.65,"HLA-DPA1",1
"116",0.65,"SMCR5",1
"7",0.64,"AIM2",1
"109",0.64,"SCIMP",1
"3",0.63,"ABHD17C",1
"66",0.63,"IKZF1",1
"107",0.62,"RSPO3",1
"6",0.6,"AGXT",1
"12",0.6,"B2M",1
"53",0.59,"GMFG",1
"133",0.59,"ZG16B",1
"55",0.58,"GPX3",1
"68",0.58,"IQGAP2",1
"88",0.58,"PGAM2",1
"45",0.57,"FCGBP",1
"38",0.56,"EFNA1",1
"83",0.56,"PARVG",1
"58",0.55,"GZMB",1
"106",0.55,"RNF149",1
"121",0.54,"TCIM",1
"60",0.53,"H2AZ1",1
"85",0.52,"PCOLCE",1
"31",0.51,"CXCL2",1
"64",0.5,"HOPX",1
"128",0.44,"VAMP5",1
"19",0.43,"CHST9",1
"108",0.42,"S100A11",1
"761",0.97,"NCF4",2
