"","pearson","gene","cluster"
"40",0.92,"ICOS",1
"43",0.91,"IRX5",1
"45",0.91,"KIR2DS4",1
"47",0.91,"LCE5A",1
"59",0.91,"PDYN",1
"74",0.91,"SLAMF1",1
"82",0.91,"USP2-AS1",1
"21",0.9,"CLEC5A",1
"80",0.9,"TIGIT",1
"28",0.88,"EOMES",1
"53",0.88,"MAGEA8",1
"15",0.87,"CD2",1
"19",0.86,"CDA",1
"13",0.85,"CCL23",1
"49",0.85,"LINC01104",1
"67",0.85,"RPA4",1
"75",0.84,"SOX21",1
"58",0.83,"OASL",1
"55",0.82,"MYH15",1
"64",0.82,"PVRIG",1
"29",0.81,"ESM1",1
"42",0.81,"IL17RE",1
"3",0.8,"ADGRF3",1
"11",0.8,"CCDC39",1
"25",0.8,"CXCR3",1
"18",0.79,"CD69",1
"41",0.78,"IFIT2",1
"9",0.77,"C9orf24",1
"10",0.77,"CACNA2D3",1
"73",0.77,"SELENBP1",1
"33",0.76,"FGF1",1
"20",0.75,"CERNA1",1
"39",0.75,"HPGDS",1
"71",0.75,"S1PR4",1
"83",0.75,"VGLL1",1
"2",0.74,"ABI3",1
"14",0.74,"CCR2",1
"6",0.73,"ASB2",1
"51",0.73,"LURAP1L-AS1",1
"8",0.72,"C1orf162",1
"31",0.72,"FAM24B",1
"34",0.72,"GADD45G",1
"63",0.72,"PTPN7",1
"69",0.72,"S100A2",1
"79",0.72,"TIGD5",1
"81",0.72,"TNFRSF8",1
"7",0.71,"BBOX1",1
"54",0.71,"MT1G",1
"32",0.7,"FCRLA",1
"86",0.7,"ZNF556",1
"12",0.69,"CCL21",1
"23",0.68,"COX4I2",1
"52",0.68,"MAB21L1",1
"35",0.67,"GIMAP4",1
"70",0.67,"S100A4",1
"38",0.66,"GPR84",1
"78",0.66,"TG",1
"84",0.66,"VTRNA1-3",1
"5",0.65,"APOC1",1
"27",0.64,"ECSCR",1
"72",0.63,"SDF2L1",1
"17",0.61,"CD3G",1
"48",0.61,"LGALS1",1
"77",0.61,"TCL1A",1
"30",0.59,"FAM122B",1
"76",0.59,"TCIM",1
"46",0.58,"LAP3",1
"50",0.57,"LINC02076",1
"62",0.57,"POLR2M",1
"1",0.56,"ABCC8",1
"56",0.56,"MYOM2",1
"4",0.55,"ADRA1B",1
"24",0.55,"CTSC",1
"61",0.55,"PLXDC1",1
"85",0.55,"WDR76",1
"16",0.54,"CD3D",1
"57",0.53,"NDUFA4L2",1
"60",0.53,"PLAC9",1
"37",0.52,"GPC5-AS1",1
"65",0.52,"RGS19",1
"68",0.52,"RSPO3",1
"36",0.5,"GLRX",1
"26",0.47,"DCN",1
"22",0.46,"CNRIP1",1
"44",0.46,"ITGAL",1
"66",0.44,"RGS5",1
"1410",0.96,"BPIFC",2
"291",0.96,"CFAP65",2
"321",0.96,"CGB7",2
"531",0.96,"FBLL1",2
"591",0.96,"GALNT6",2
"701",0.96,"GSTA7P",2
"92",0.96,"LEF1-AS1",2
"95",0.96,"LINC00461",2
"109",0.96,"MS4A3",2
"142",0.96,"PRR7-AS1",2
"173",0.96,"TDGF1",2
"187",0.96,"VAX1",2
"271",0.95,"CEACAM3",2
"461",0.95,"DRC7",2
"107",0.95,"MPO",2
"117",0.95,"NCF2",2
"153",0.95,"S100P",2
"94",0.94,"LILRB5",2
"124",0.94,"NOD2",2
"159",0.94,"SERPINA5",2
"180",0.94,"TMEM52B",2
"189",0.94,"VPREB3",2
"210",0.93,"ACTA1",2
"1610",0.93,"C2CD4A",2
"651",0.93,"GNRHR",2
"188",0.93,"VGF",2
"192",0.93,"WNT4",2
"471",0.92,"ECEL1",2
"122",0.92,"NEUROD1",2
"98",0.91,"LMNTD2",2
"108",0.9,"MPPED1",2
"178",0.9,"THBS4",2
"281",0.89,"CEACAM6",2
"311",0.89,"CGB3",2
"154",0.89,"SBNO2",2
"193",0.89,"ZEB2",2
"561",0.88,"FOXG1",2
"831",0.88,"ISG20",2
"110",0.88,"MS4A7",2
"132",0.88,"PCAT19",2
"710",0.87,"APBB1IP",2
"851",0.87,"ITGAX",2
