"","pearson","gene","cluster"
"49",1,"FSD1L",1
"50",0.99,"FST",1
"83",0.99,"P2RX1",1
"6",0.98,"B4GALT1-AS1",1
"22",0.98,"CNMD",1
"26",0.98,"CRYGD",1
"29",0.98,"DCT",1
"32",0.98,"DEPDC7",1
"33",0.98,"DLGAP4-AS1",1
"38",0.98,"FALEC",1
"41",0.98,"FAM3D",1
"42",0.98,"FAM81A",1
"68",0.98,"LEF1-AS1",1
"78",0.98,"NAMA",1
"95",0.98,"RGS4",1
"105",0.98,"SEZ6L",1
"114",0.98,"USP44",1
"116",0.98,"VXN",1
"18",0.97,"CHST5",1
"69",0.97,"LILRB4",1
"70",0.97,"LINC02587",1
"103",0.97,"SEMA3C",1
"3",0.96,"ANKRD19P",1
"48",0.96,"FOXP1-AS1",1
"56",0.96,"GPR171",1
"59",0.96,"HILPDA",1
"71",0.96,"LMX1A",1
"106",0.96,"SH3BP5",1
"113",0.96,"TRH",1
"1",0.95,"ACY3",1
"5",0.95,"APOC1",1
"35",0.95,"DOCK8",1
"80",0.95,"NUDT1",1
"75",0.94,"MGST1",1
"66",0.93,"IL33",1
"72",0.92,"LRRC8C-DT",1
"118",0.92,"XPO7",1
"34",0.91,"DMAC2L",1
"44",0.91,"FGF18",1
"51",0.9,"GAL",1
"111",0.9,"SUSD3",1
"43",0.89,"FEZF1",1
"7",0.88,"BMP3",1
"2",0.87,"ADPRH",1
"4",0.87,"ANXA3",1
"15",0.87,"CDC20",1
"46",0.87,"FMO1",1
"63",0.87,"HTR2C",1
"60",0.86,"HJURP",1
"67",0.86,"IRX2",1
"11",0.85,"CAPG",1
"77",0.85,"MUC15",1
"100",0.85,"SBNO2",1
"102",0.85,"SELL",1
"107",0.85,"SIRT7",1
"17",0.84,"CFP",1
"57",0.84,"GRK5",1
"86",0.84,"PIP5K1B",1
"89",0.84,"PRR15L",1
"96",0.84,"RHBDF2",1
"115",0.84,"VSIG4",1
"31",0.83,"DEPDC1",1
"61",0.82,"HMGA2",1
"98",0.82,"RNASE6",1
"84",0.81,"PARPBP",1
"82",0.8,"OPCML",1
"88",0.8,"PPIF",1
"24",0.79,"COX4I2",1
"39",0.79,"FAM107A",1
"23",0.78,"CNRIP1",1
"40",0.78,"FAM155A",1
"10",0.77,"CAD",1
"37",0.77,"EREG",1
"101",0.77,"SELE",1
"9",0.76,"BST1",1
"45",0.76,"FILIP1",1
"13",0.75,"CCL5",1
"16",0.75,"CDC42EP3",1
"104",0.75,"SERPINI1",1
"53",0.74,"GDF3",1
"58",0.74,"GUCY1A1",1
"79",0.74,"NNAT",1
"81",0.74,"NUDT4",1
"94",0.72,"RBMS3-AS3",1
"14",0.71,"CD300E",1
"54",0.71,"GMDS",1
"76",0.71,"MND1",1
"117",0.71,"WDR76",1
"74",0.7,"METRNL",1
"73",0.69,"LTC4S",1
