"","pearson","gene","cluster"
"91",0.97,"SCG5",1
"19",0.96,"CHGB",1
"107",0.96,"UCHL1",1
"94",0.91,"SELENOM",1
"27",0.9,"DIO2",1
"38",0.9,"FKBP11",1
"90",0.9,"SCG2",1
"2",0.89,"AGR2",1
"12",0.89,"CAPSL",1
"96",0.89,"SGCG",1
"101",0.89,"TAGLN3",1
"28",0.88,"DIRAS3",1
"77",0.88,"PCOLCE2",1
"23",0.87,"COX7A1",1
"24",0.87,"CST3",1
"25",0.87,"CYB561",1
"63",0.87,"LINC00643",1
"41",0.86,"FOLR1",1
"50",0.86,"GNAS",1
"1",0.85,"ACOT7",1
"81",0.85,"PKIB",1
"82",0.85,"PLD3",1
"84",0.85,"QPCT",1
"95",0.85,"SERPINB1",1
"18",0.84,"CHGA",1
"89",0.84,"RTN1",1
"92",0.84,"SCGB2A1",1
"93",0.84,"SEC11C",1
"98",0.84,"SPINT2",1
"100",0.84,"SSTR2",1
"103",0.84,"TGFBR3L",1
"43",0.83,"FSHB",1
"78",0.83,"PCSK1N",1
"83",0.83,"PRDX4",1
"5",0.82,"B3GNT2",1
"11",0.82,"CALY",1
"58",0.82,"IGSF1",1
"99",0.82,"SSR4",1
"108",0.82,"WFDC2",1
"20",0.81,"CITED1",1
"26",0.81,"DEPP1",1
"40",0.81,"FMN2",1
"51",0.81,"GNG3",1
"54",0.81,"GPX3",1
"75",0.81,"OSR2",1
"29",0.8,"DNAJC12",1
"39",0.8,"FKBP2",1
"9",0.79,"C9orf135",1
"71",0.79,"NPAS4",1
"31",0.78,"DNER",1
"49",0.78,"GIMAP7",1
"85",0.78,"RAB3B",1
"3",0.77,"ARHGAP36",1
"73",0.77,"NUCB2",1
"14",0.76,"CD69",1
"48",0.76,"GHRHR",1
"7",0.75,"C2CD4A",1
"32",0.75,"ECRG4",1
"34",0.75,"EPCAM",1
"8",0.74,"C4orf48",1
"68",0.74,"MGARP",1
"15",0.73,"CD9",1
"35",0.73,"F3",1
"76",0.73,"OTOS",1
"106",0.73,"TPPP3",1
"13",0.72,"CCN3",1
"59",0.72,"IL17RB",1
"64",0.72,"LIX1",1
"70",0.72,"NENF",1
"45",0.71,"GATA2",1
"97",0.71,"SLPI",1
"53",0.69,"GPC4",1
"72",0.69,"NPNT",1
"10",0.68,"C9orf24",1
"36",0.68,"FAIM2",1
"66",0.68,"LYPD1",1
"65",0.67,"LY6H",1
"74",0.67,"NUPR2",1
"17",0.66,"CGA",1
"47",0.66,"GH2",1
"52",0.66,"GOLPH3L",1
"102",0.66,"TDRD9",1
"30",0.65,"DNAJC18",1
"60",0.65,"KLHL11",1
"80",0.65,"PHACTR3",1
"69",0.64,"MT1F",1
"44",0.63,"GADD45B",1
"21",0.62,"CLU",1
"42",0.62,"FSD1L",1
"62",0.62,"LINC00632",1
"55",0.61,"HSPA1A",1
"104",0.61,"TIMP1",1
"88",0.6,"RPGR",1
"6",0.59,"C1orf122",1
"57",0.59,"HTATSF1",1
"16",0.58,"CFP",1
"46",0.58,"GH1",1
"79",0.58,"PEG10",1
"33",0.57,"EGR2",1
"86",0.56,"RBP4",1
"4",0.55,"B2M",1
"67",0.54,"MEG3",1
"22",0.53,"COTL1",1
"56",0.53,"HSPB1",1
"61",0.51,"KRT19",1
"87",0.48,"RGS2",1
"105",0.47,"TMCC2",1
"37",0.46,"FECH",1
"931",0.98,"PLCB2",2
"171",0.97,"CD300LF",2
"1051",0.95,"SCAMP5",2
"124",0.95,"VSTM2A",2
"510",0.94,"BATF3",2
"301",0.94,"CTSS",2
"471",0.94,"GUCA1A",2
"571",0.94,"HNMT",2
"1071",0.94,"SCT",2
"401",0.93,"GAD2",2
"871",0.93,"OMD",2
"381",0.92,"FBLL1",2
"641",0.92,"ISG15",2
"821",0.92,"NEFL",2
"951",0.92,"PPFIA2",2
"441",0.91,"GIMAP8",2
"461",0.91,"GRB14",2
"861",0.91,"NUMBL",2
"911",0.9,"PENK",2
"161",0.89,"CCR1",2
"341",0.89,"DYNC1I1",2
"921",0.88,"PLA2G7",2
"221",0.87,"CDX1",2
"331",0.87,"DMAC2L",2
"581",0.87,"HSPA6",2
"1081",0.87,"SFRP2",2
"910",0.86,"C1QB",2
"131",0.86,"CADM2",2
"891",0.86,"PDLIM1",2
"810",0.85,"C1QA",2
"109",0.85,"SILC1",2
"141",0.84,"CALB1",2
"501",0.84,"HLA-DMA",2
"521",0.84,"HLA-DPA1",2
"831",0.84,"NEFM",2
"371",0.83,"FAM24B",2
"591",0.83,"HSPA7",2
"123",0.83,"USP27X",2
"210",0.82,"ADRA2C",2
"125",0.82,"CACNA1C-AS4",2
"361",0.82,"F13A1",2
"621",0.81,"IFIT3",2
"121",0.81,"TSC22D1-AS1",2
"981",0.79,"PSMB9",2
"231",0.78,"CLDN7",2
"601",0.78,"IFI44L",2
"751",0.78,"MAFB",2
"941",0.78,"PNOC",2
"271",0.77,"COL8A1",2
"531",0.77,"HLA-DPB1",2
"561",0.77,"HLA-DRB5",2
"610",0.76,"BIRC3",2
"191",0.76,"CD53",2
"251",0.76,"CLIC3",2
"701",0.76,"LPL",2
"771",0.76,"MS4A4A",2
"1001",0.76,"PTPRC",2
"1110",0.75,"C21orf62",2
"731",0.75,"LY96",2
"791",0.75,"MYF6",2
"801",0.75,"NCF4",2
"961",0.74,"PPP1R1A",2
"351",0.73,"EVI2A",2
"971",0.73,"PRF1",2
"541",0.72,"HLA-DQB1",2
"761",0.71,"MAP7D2",2
"1011",0.71,"RARRES1",2
"311",0.7,"CXCL2",2
"511",0.7,"HLA-DMB",2
"691",0.7,"LILRB4",2
"991",0.7,"PTCHD1",2
"1021",0.7,"RARRES2",2
"811",0.69,"NCR3",2
"122",0.69,"UNC93B1",2
"410",0.68,"BAG3",2
"181",0.68,"CD48",2
"481",0.68,"HAVCR2",2
"651",0.68,"ITPR2",2
"741",0.68,"LYN",2
"841",0.68,"NFKBIA",2
"113",0.68,"STAB1",2
"671",0.67,"LGMN",2
"721",0.67,"LTC4S",2
"1041",0.67,"RGS19",2
"291",0.66,"COX4I2",2
"391",0.66,"FXYD3",2
"126",0.65,"ADGRE5",2
"151",0.65,"CCN1",2
"211",0.65,"CDC42EP2",2
"281",0.65,"CORO2A",2
"120",0.64,"TNFSF13B",2
"611",0.63,"IFIT1",2
"1061",0.63,"SCIN",2
"201",0.62,"CD74",2
"241",0.62,"CLEC2B",2
"881",0.62,"PCP4",2
"711",0.61,"LSP1",2
"901",0.61,"PDPN",2
"115",0.61,"SYK",2
"710",0.6,"C11orf21",2
"411",0.6,"GAS2L3",2
"781",0.6,"MS4A6A",2
"851",0.6,"NFKBIZ",2
"116",0.6,"SYNPO2",2
"117",0.6,"TAGLN",2
"119",0.6,"TMEM176B",2
"118",0.59,"TGM2",2
"431",0.58,"GEM",2
"491",0.58,"HLA-B",2
"1031",0.58,"RBM38",2
"310",0.57,"APBB2",2
"451",0.57,"GNAI2",2
"111",0.57,"SMIM1",2
"112",0.56,"SOD2",2
"551",0.55,"HLA-DRA",2
"110",0.55,"SKAP2",2
"321",0.54,"CXCR4",2
"661",0.53,"KLF6",2
"114",0.53,"STYX",2
"1010",0.52,"C1QC",2
"681",0.5,"LHB",2
"261",0.46,"COL4A1",2
"421",0.46,"GBP4",2
"631",0.42,"IGFBP5",2
"412",0.97,"ADAMTSL5",3
"1111",0.97,"CABP5",3
"462",0.97,"KCNQ4",3
"472",0.97,"KRTAP4-9",3
"482",0.97,"LEF1-AS1",3
"542",0.97,"MC2R",3
"562",0.97,"MMP19",3
"662",0.97,"SELENOV",3
"772",0.97,"TNFRSF8",3
"782",0.97,"TSPAN16",3
"432",0.96,"IL1R2",3
"532",0.96,"MAP3K19",3
"822",0.96,"ZNF804A",3
"512",0.94,"ADGRF3",3
"232",0.94,"DNASE2B",3
"392",0.93,"H1-1",3
"192",0.92,"CRYGD",3
"212",0.91,"DIRC1",3
"642",0.89,"POLA2",3
"652",0.88,"RFX8",3
"602",0.87,"PCDHA10",3
"172",0.86,"COL28A1",3
"272",0.84,"ESR1",3
"382",0.84,"GPR6",3
"312",0.83,"ABCC8",3
"202",0.83,"CYB5D2",3
"682",0.83,"SLCO2A1",3
"812",0.82,"ANXA3",3
"692",0.82,"SMCR5",3
"127",0.81,"AARD",3
"128",0.78,"CAPG",3
"502",0.78,"LRRC32",3
"513",0.78,"LRRC8C-DT",3
"813",0.78,"ZNF556",3
"332",0.77,"GJA4",3
"722",0.76,"SOX18",3
"712",0.75,"AGXT",3
"262",0.75,"EGFL7",3
"302",0.75,"FAM86B3P",3
"402",0.74,"H2BC9",3
"492",0.74,"LHX3",3
"592",0.74,"NKAIN3",3
"422",0.73,"HYAL2",3
"162",0.71,"CDHR3",3
"182",0.71,"CRELD2",3
"452",0.71,"ITGB3BP",3
"572",0.71,"MMRN1",3
"742",0.71,"TG",3
"322",0.69,"GAL",3
"912",0.68,"ARHGDIB",3
"142",0.66,"CBLN2",3
"252",0.66,"EFNA1",3
"672",0.65,"SLC7A5P2",3
"362",0.64,"GNRHR",3
"213",0.63,"ABCA4",3
"1012",0.63,"B4GALT1-AS1",3
"152",0.63,"CDCA7L",3
"222",0.63,"DNAJA4",3
"282",0.63,"FABP4",3
"752",0.63,"TMED3",3
"792",0.63,"VAMP5",3
"612",0.61,"ADGRL4",3
"352",0.61,"GNG8",3
"582",0.61,"MNS1",3
"802",0.61,"VGF",3
"292",0.6,"FABP6",3
"732",0.6,"SYT10",3
"342",0.59,"GNG11",3
"522",0.59,"LRRTM3",3
"372",0.58,"GPC5-AS1",3
"613",0.58,"PCNA",3
"132",0.57,"CAVIN2",3
"313",0.57,"FLRT2",3
"442",0.56,"ISL1",3
"702",0.55,"SMIM22",3
"713",0.54,"SMIM4",3
"242",0.52,"DZANK1",3
"622",0.52,"PLA2G1B",3
"413",0.5,"HBZ",3
"632",0.5,"PLEK2",3
"552",0.39,"MICAL2",3
"762",0.37,"TNF",3
"723",1,"FNDC1",4
"1810",0.99,"BHLHE41",4
"343",0.99,"CLEC5A",4
"414",0.99,"CRTC3-AS1",4
"443",0.99,"CTRL",4
"523",0.99,"DLGAP4-AS1",4
"793",0.99,"GHRH",4
"942",0.99,"HMOX1",4
"1101",0.99,"LINC01508",4
"146",0.99,"POM121L8P",4
"1621",0.99,"RNASET2",4
"197",0.99,"WIF1",4
"314",0.98,"ADGRG6",4
"814",0.98,"ALOX5AP",4
"214",0.98,"C5AR1",4
"333",0.98,"CLDN2",4
"353",0.98,"CLECL1",4
"373",0.98,"COL20A1",4
"703",0.98,"FCGR3A",4
"1022",0.98,"IRF8",4
"1251",0.98,"NGFR",4
"1321",0.98,"P2RY13",4
"133",0.98,"PADI2",4
"166",0.98,"SCRG1",4
"174",0.98,"SLC2A5",4
"189",0.98,"TMIGD3",4
"1710",0.97,"BCAN",4
"233",0.97,"CATSPER1",4
"982",0.97,"IGFBP3",4
"1002",0.97,"IL1RL1",4
"1062",0.97,"ITGB2-AS1",4
"1121",0.97,"LPCAT2",4
"163",0.97,"S100B",4
"184",0.97,"THEMIS2",4
"1013",0.96,"ANGPTL4",4
"693",0.96,"FCGR2B",4
"1151",0.96,"MAB21L1",4
"1201",0.96,"MSR1",4
"1721",0.96,"SLC11A1",4
"190",0.96,"TNFRSF1B",4
"223",0.95,"CA12",4
"303",0.95,"CDKN1A",4
"315",0.95,"CH25H",4
"363",0.95,"CMTM2",4
"583",0.95,"EBI3",4
"593",0.95,"EDN3",4
"852",0.95,"H3C4",4
"902",0.95,"HILPDA",4
"1211",0.95,"MT3",4
"1281",0.95,"OLIG2",4
"139",0.95,"PHLDA2",4
"157",0.95,"RGS1",4
"175",0.95,"SLCO1C1",4
"186",0.95,"TIMP3",4
"743",0.94,"FPR1",4
"1052",0.94,"ITGB2",4
"1271",0.94,"OLIG1",4
"179",0.94,"SRGN",4
"180",0.94,"SSH1",4
"1911",0.94,"TNFRSF4",4
"1510",0.93,"BABAM2-AS1",4
"323",0.93,"CILP",4
"393",0.93,"CP",4
"503",0.93,"CYTIP",4
"1014",0.93,"IL6R",4
"1921",0.93,"TREM2",4
"194",0.93,"VSIR",4
"1171",0.92,"METRNL",4
"1221",0.92,"MX2",4
"168",0.92,"SERPINA1",4
"514",0.91,"ADM",4
"1521",0.91,"PTPRZ1",4
"178",0.91,"SPON1",4
"483",0.9,"CXXC1",4
"823",0.9,"GPR65",4
"1032",0.89,"ITGAV",4
"1261",0.89,"NR4A2",4
"134",0.89,"PCDH17",4
"140",0.89,"PIK3R5",4
"203",0.88,"C3",4
"714",0.88,"FFAR2",4
"187",0.88,"TMEM52B",4
"1112",0.87,"APOC1",4
"515",0.87,"DEPDC7",4
"773",0.87,"G0S2",4
"862",0.87,"HAMP",4
"962",0.86,"IER3",4
"150",0.86,"PTPRE",4
"173",0.86,"SLC25A53",4
"1210",0.85,"APOE",4
"553",0.85,"DLX5",4
"673",0.85,"FCER1G",4
"1082",0.85,"LEFTY2",4
"170",0.85,"SGK1",4
"803",0.84,"GK",4
"872",0.84,"HBEGF",4
"1411",0.84,"PILRA",4
"1072",0.83,"LAPTM5",4
"493",0.82,"CYTH4",4
"643",0.82,"FALEC",4
"992",0.82,"IL10RA",4
"1113",0.82,"LMO2",4
"463",0.81,"CXCL14",4
"1091",0.81,"LGALS13",4
"159",0.81,"RGS16",4
"165",0.81,"SCIMP",4
"1711",0.81,"SH3BP1",4
"196",0.81,"WFIKKN2",4
"1181",0.8,"MGST1",4
"1421",0.8,"PIP5K1B",4
"215",0.79,"ACKR1",4
"1610",0.79,"BASP1",4
"563",0.79,"DLX6",4
"1311",0.79,"P2RY12",4
"169",0.79,"SERPINE2",4
"293",0.78,"CD93",4
"952",0.78,"IBSP",4
"160",0.78,"RHBDF2",4
"403",0.77,"CPVL",4
"543",0.77,"DLX2",4
"663",0.77,"FAM83D",4
"136",0.77,"PDE4B",4
"167",0.77,"SEMA3C",4
"433",0.76,"CSF1R",4
"1191",0.76,"MIR9-1HG",4
"156",0.76,"RCSD1",4
"164",0.75,"S1PR1",4
"176",0.75,"SP2-AS1",4
"199",0.75,"ZNF331",4
"603",0.74,"EML2-AS1",4
"130",0.74,"OTX2",4
"135",0.74,"PCSK2",4
"155",0.74,"RBP7",4
"1100",0.73,"A2M",4
"243",0.73,"CCL2",4
"144",0.73,"PLEKHA4",4
"1821",0.73,"TBX3",4
"253",0.72,"CCL3",4
"148",0.72,"PRDM1",4
"763",0.71,"FYB1",4
"129",0.71,"OLR1",4
"1310",0.7,"AQP4",4
"273",0.7,"CD160",4
"423",0.7,"CRYM",4
"633",0.7,"ERFE",4
"145",0.7,"PLXDC1",4
"154",0.7,"RBMS3-AS3",4
"1611",0.7,"RILPL2",4
"653",0.69,"FAM181B",4
"783",0.69,"GAREM1",4
"623",0.68,"ENTPD1-AS1",4
"137",0.68,"PDGFB",4
"1511",0.68,"PTPRN",4
"614",0.67,"ENOX1",4
"683",0.67,"FCGBP",4
"415",0.66,"ADIRF",4
"972",0.66,"IFITM2",4
"143",0.66,"PLAUR",4
"183",0.66,"TBXAS1",4
"733",0.65,"FOXP1-AS1",4
"882",0.65,"HBQ1",4
